Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-16,73.4,15.0,11.6,Kurzfristige Tendenz,73.4,20.0,6.6,Mittelfristige Tendenz,86.7,1.31,11.48,61.7,66.7
Siemens Healthineers,2025-12-16,70.4,15.0,14.6,Kurzfristige Tendenz,70.4,20.0,9.6,Mittelfristige Tendenz,80.8,1.71,4.75,55.8,60.8
Porsche,2025-12-16,70.1,15.0,14.9,Kurzfristige Tendenz,70.1,20.0,9.9,Mittelfristige Tendenz,80.1,0.95,12.09,55.1,60.1
Münchener Rück,2025-12-16,65.5,15.0,19.5,Kurzfristige Tendenz,65.5,20.0,14.5,Mittelfristige Tendenz,70.9,2.01,3.26,45.9,50.9
Adidas,2025-12-16,65.4,15.0,19.6,Kurzfristige Tendenz,65.4,20.0,14.6,Mittelfristige Tendenz,70.8,4.49,6.17,45.8,50.8
Siemens,2025-12-16,64.9,15.0,20.1,Kurzfristige Tendenz,64.9,20.0,15.1,Mittelfristige Tendenz,69.7,2.53,4.1,44.7,49.7
Allianz,2025-12-16,64.8,15.0,20.2,Kurzfristige Tendenz,64.8,20.0,15.2,Mittelfristige Tendenz,69.6,1.21,2.76,44.6,49.6
Continental,2025-12-16,63.8,15.0,21.2,Kurzfristige Tendenz,63.8,20.0,16.2,Mittelfristige Tendenz,67.7,2.62,3.74,42.7,47.7
Merck,2025-12-16,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.9,4.47,5.29,41.9,46.9
Beiersdorf,2025-12-16,62.7,15.0,22.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.4,1.79,2.63,40.4,45.4
Zalando,2025-12-16,62.5,15.0,22.5,Kurzfristige Tendenz,62.5,20.0,17.5,Mittelfristige Tendenz,65.0,1.07,5.49,40.0,45.0
Commerzbank,2025-12-16,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.8,1.38,2.12,39.8,44.8
Hannover Rück,2025-12-16,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.6,2.42,1.94,39.6,44.6
Heidelberg Materials,2025-12-16,61.8,15.0,23.2,Kurzfristige Tendenz,61.8,20.0,18.2,Mittelfristige Tendenz,63.5,2.75,1.86,38.5,43.5
Deutsche Bank,2025-12-16,61.0,15.0,24.0,Kurzfristige Tendenz,61.0,20.0,19.0,Mittelfristige Tendenz,62.1,0.66,5.17,37.1,42.1
Henkel,2025-12-16,60.4,15.0,24.6,Kurzfristige Tendenz,60.4,20.0,19.6,Mittelfristige Tendenz,60.7,2.2,1.09,35.7,40.7
BASF,2025-12-16,58.7,15.0,26.3,Kurzfristige Tendenz,58.7,20.0,21.3,Mittelfristige Tendenz,57.5,3.34,-0.09,32.5,37.5
Fresenius,2025-12-16,58.2,15.0,26.8,Kurzfristige Tendenz,58.2,20.0,21.8,Mittelfristige Tendenz,56.4,0.71,1.51,31.4,36.4
Bayer,2025-12-16,57.9,15.0,27.1,Kurzfristige Tendenz,67.9,20.0,12.1,Mittelfristige Tendenz,75.9,-1.82,18.41,30.9,55.9
Fresenius Medical Care,2025-12-16,56.7,15.0,28.3,Kurzfristige Tendenz,56.7,20.0,23.3,Mittelfristige Tendenz,53.4,1.28,-1.87,28.4,33.4
E.ON,2025-12-16,55.9,15.0,29.1,Kurzfristige Tendenz,55.9,20.0,24.1,Mittelfristige Tendenz,51.8,-0.55,-0.61,26.8,31.8
Vonovia,2025-12-16,29.6,15.0,55.4,Kurzfristige Tendenz,29.6,20.0,50.4,Mittelfristige Tendenz,19.2,-0.67,-8.36,25.8,20.8
RWE,2025-12-16,54.2,15.0,30.8,Kurzfristige Tendenz,54.2,20.0,25.8,Mittelfristige Tendenz,48.5,0.78,-0.54,23.5,28.5
BMW,2025-12-16,53.7,15.0,31.3,Kurzfristige Tendenz,63.7,20.0,16.3,Mittelfristige Tendenz,67.4,-0.67,8.72,22.4,47.4
Mercedes-Benz,2025-12-16,51.2,15.0,33.8,Kurzfristige Tendenz,61.2,20.0,18.8,Mittelfristige Tendenz,62.4,0.89,6.57,17.4,42.4
Daimler Truck,2025-12-16,49.1,15.0,35.9,Kurzfristige Tendenz,59.1,20.0,20.9,Mittelfristige Tendenz,58.2,1.73,1.08,13.2,38.2
Siemens Energy,2025-12-16,48.8,15.0,36.2,Kurzfristige Tendenz,58.8,20.0,21.2,Mittelfristige Tendenz,57.6,0.63,11.56,12.6,37.6
Symrise,2025-12-16,37.1,15.0,47.9,Kurzfristige Tendenz,37.1,20.0,42.9,Mittelfristige Tendenz,34.3,-0.39,-5.8,10.7,5.7
Airbus,2025-12-16,37.7,15.0,47.3,Kurzfristige Tendenz,37.7,20.0,42.3,Mittelfristige Tendenz,35.4,-0.29,-5.62,9.6,4.6
Deutsche Telekom,2025-12-16,38.2,15.0,46.8,Kurzfristige Tendenz,38.2,20.0,41.8,Mittelfristige Tendenz,36.4,-0.67,-3.51,8.6,3.6
Brenntag,2025-12-16,46.6,15.0,38.4,Kurzfristige Tendenz,56.6,20.0,23.4,Mittelfristige Tendenz,53.2,3.73,-0.44,8.2,33.2
Qiagen,2025-12-16,38.8,15.0,46.2,Kurzfristige Tendenz,38.8,20.0,41.2,Mittelfristige Tendenz,37.6,-2.28,-8.07,7.4,2.4
Rheinmetall,2025-12-16,40.3,15.0,44.7,Kurzfristige Tendenz,40.3,20.0,39.7,Mittelfristige Tendenz,40.5,-5.84,1.37,4.5,0.5
Deutsche Börse,2025-12-16,44.6,15.0,40.4,Kurzfristige Tendenz,44.6,20.0,35.4,Mittelfristige Tendenz,49.2,-1.82,-2.71,4.2,9.2
Infineon,2025-12-16,44.3,15.0,40.7,Kurzfristige Tendenz,44.3,20.0,35.7,Mittelfristige Tendenz,48.7,-3.58,1.74,3.7,8.7
MTU Aero Engines,2025-12-16,44.0,15.0,41.0,Kurzfristige Tendenz,54.0,20.0,26.0,Mittelfristige Tendenz,48.0,-0.88,0.17,3.0,28.0
SAP,2025-12-16,43.1,15.0,41.9,Kurzfristige Tendenz,43.1,20.0,36.9,Mittelfristige Tendenz,46.2,-1.85,0.17,1.2,6.2
Deutsche Post,2025-12-16,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-12-16,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-12-16,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
