Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-11,71.8,15.0,13.2,Kurzfristige Tendenz,71.8,20.0,8.2,Mittelfristige Tendenz,83.5,0.23,13.12,58.5,63.5
Porsche,2025-12-11,71.1,15.0,13.9,Kurzfristige Tendenz,71.1,20.0,8.9,Mittelfristige Tendenz,82.1,1.93,15.29,57.1,62.1
Bayer,2025-12-11,70.7,15.0,14.3,Kurzfristige Tendenz,70.7,20.0,9.3,Mittelfristige Tendenz,81.3,9.7,32.45,56.3,61.3
Münchener Rück,2025-12-11,64.7,15.0,20.3,Kurzfristige Tendenz,64.7,20.0,15.3,Mittelfristige Tendenz,69.4,4.93,4.77,44.4,49.4
Allianz,2025-12-11,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,3.55,4.57,44.0,49.0
Siemens Energy,2025-12-11,64.4,15.0,20.6,Kurzfristige Tendenz,64.4,20.0,15.6,Mittelfristige Tendenz,68.9,5.0,21.92,43.9,48.9
Commerzbank,2025-12-11,61.2,15.0,23.8,Kurzfristige Tendenz,61.2,20.0,18.8,Mittelfristige Tendenz,62.3,2.55,9.74,37.3,42.3
Heidelberg Materials,2025-12-11,59.9,15.0,25.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.7,,6.4,34.7,39.7
Deutsche Bank,2025-12-11,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.2,3.13,9.21,34.2,39.2
Daimler Truck,2025-12-11,59.4,15.0,25.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.7,-1.01,4.84,33.7,38.7
Adidas,2025-12-11,58.6,15.0,26.4,Kurzfristige Tendenz,58.6,20.0,21.4,Mittelfristige Tendenz,57.1,-0.97,7.32,32.1,37.1
Continental,2025-12-11,57.8,15.0,27.2,Kurzfristige Tendenz,57.8,20.0,22.2,Mittelfristige Tendenz,55.5,0.22,3.67,30.5,35.5
Beiersdorf,2025-12-11,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.2,1.96,3.77,29.2,34.2
