Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Bayer,2025-12-02,71.4,15.0,13.6,Kurzfristige Tendenz,71.4,20.0,8.6,Mittelfristige Tendenz,82.9,12.48,17.52,57.9,62.9
Volkswagen,2025-12-02,65.6,15.0,19.4,Kurzfristige Tendenz,65.6,20.0,14.4,Mittelfristige Tendenz,71.3,2.93,1.32,46.3,51.3
BMW,2025-12-02,63.3,15.0,21.7,Kurzfristige Tendenz,63.3,20.0,16.7,Mittelfristige Tendenz,66.5,2.01,0.11,41.5,46.5
Porsche,2025-12-02,63.1,15.0,21.9,Kurzfristige Tendenz,63.1,20.0,16.9,Mittelfristige Tendenz,66.2,1.61,-0.03,41.2,46.2
BASF,2025-12-02,62.7,15.0,22.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.4,0.72,2.74,40.4,45.4
Commerzbank,2025-12-02,61.6,15.0,23.4,Kurzfristige Tendenz,61.6,20.0,18.4,Mittelfristige Tendenz,63.3,0.41,-0.83,38.3,43.3
Merck,2025-12-02,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.6,0.52,0.26,35.6,40.6
Deutsche Börse,2025-12-02,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.5,1.76,7.69,35.5,40.5
Siemens Energy,2025-12-02,59.8,15.0,25.2,Kurzfristige Tendenz,59.8,20.0,20.2,Mittelfristige Tendenz,59.7,7.72,7.22,34.7,39.7
Mercedes-Benz,2025-12-02,59.1,15.0,25.9,Kurzfristige Tendenz,59.1,20.0,20.9,Mittelfristige Tendenz,58.3,2.4,-0.94,33.3,38.3
Zalando,2025-12-02,56.5,15.0,28.5,Kurzfristige Tendenz,56.5,20.0,23.5,Mittelfristige Tendenz,52.9,3.57,-1.4,27.9,32.9
Continental,2025-12-02,55.5,15.0,29.5,Kurzfristige Tendenz,55.5,20.0,24.5,Mittelfristige Tendenz,51.0,1.09,0.4,26.0,31.0
