Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-15,75.5,15.0,9.5,Kurzfristige Tendenz,75.5,20.0,4.5,Mittelfristige Tendenz,90.9,1.73,11.83,65.9,70.9
Bayer,2025-12-15,71.2,15.0,13.8,Kurzfristige Tendenz,71.2,20.0,8.8,Mittelfristige Tendenz,82.4,1.28,19.28,57.4,62.4
Porsche,2025-12-15,70.4,15.0,14.6,Kurzfristige Tendenz,70.4,20.0,9.6,Mittelfristige Tendenz,80.9,0.66,12.65,55.9,60.9
BMW,2025-12-15,68.4,15.0,16.6,Kurzfristige Tendenz,68.4,20.0,11.6,Mittelfristige Tendenz,76.9,-0.47,10.63,51.9,56.9
Siemens,2025-12-15,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.9,1.69,4.85,46.9,51.9
Münchener Rück,2025-12-15,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.9,3.33,3.44,46.9,51.9
Siemens Healthineers,2025-12-15,65.7,15.0,19.3,Kurzfristige Tendenz,65.7,20.0,14.3,Mittelfristige Tendenz,71.4,0.11,3.1,46.4,51.4
Continental,2025-12-15,65.3,15.0,19.7,Kurzfristige Tendenz,65.3,20.0,14.7,Mittelfristige Tendenz,70.6,3.83,4.05,45.6,50.6
Adidas,2025-12-15,64.8,15.0,20.2,Kurzfristige Tendenz,64.8,20.0,15.2,Mittelfristige Tendenz,69.7,5.03,8.92,44.7,49.7
Allianz,2025-12-15,64.7,15.0,20.3,Kurzfristige Tendenz,64.7,20.0,15.3,Mittelfristige Tendenz,69.4,0.79,4.55,44.4,49.4
Mercedes-Benz,2025-12-15,63.6,15.0,21.4,Kurzfristige Tendenz,63.6,20.0,16.4,Mittelfristige Tendenz,67.1,1.29,6.27,42.1,47.1
Heidelberg Materials,2025-12-15,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.8,2.18,1.62,39.8,44.8
Beiersdorf,2025-12-15,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,63.9,2.84,2.13,38.9,43.9
Brenntag,2025-12-15,61.4,15.0,23.6,Kurzfristige Tendenz,61.4,20.0,18.6,Mittelfristige Tendenz,62.8,4.79,1.67,37.8,42.8
