Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-14,72.8,15.0,12.2,Kurzfristige Tendenz,72.8,20.0,7.2,Mittelfristige Tendenz,85.5,1.59,13.65,60.5,65.5
Bayer,2025-12-14,69.5,15.0,15.5,Kurzfristige Tendenz,69.5,20.0,10.5,Mittelfristige Tendenz,79.1,4.67,19.3,54.1,59.1
Porsche,2025-12-14,68.7,15.0,16.3,Kurzfristige Tendenz,68.7,20.0,11.3,Mittelfristige Tendenz,77.4,0.96,13.12,52.4,57.4
Münchener Rück,2025-12-14,64.2,15.0,20.8,Kurzfristige Tendenz,64.2,20.0,15.8,Mittelfristige Tendenz,68.4,4.46,4.93,43.4,48.4
Daimler Truck,2025-12-14,63.0,15.0,22.0,Kurzfristige Tendenz,63.0,20.0,17.0,Mittelfristige Tendenz,66.0,2.59,6.62,41.0,46.0
Adidas,2025-12-14,62.7,15.0,22.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.4,4.46,9.94,40.4,45.4
Allianz,2025-12-14,62.7,15.0,22.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.4,2.92,4.82,40.4,45.4
Mercedes-Benz,2025-12-14,62.1,15.0,22.9,Kurzfristige Tendenz,62.1,20.0,17.9,Mittelfristige Tendenz,64.3,0.31,7.31,39.3,44.3
Continental,2025-12-14,61.9,15.0,23.1,Kurzfristige Tendenz,61.9,20.0,18.1,Mittelfristige Tendenz,63.8,3.0,6.09,38.8,43.8
Brenntag,2025-12-14,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.7,1.98,3.23,35.7,40.7
Siemens Healthineers,2025-12-14,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.2,1.2,4.39,35.2,40.2
Hannover Rück,2025-12-14,59.7,15.0,25.3,Kurzfristige Tendenz,59.7,20.0,20.3,Mittelfristige Tendenz,59.3,3.75,2.04,34.3,39.3
Merck,2025-12-14,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.1,,5.59,34.1,39.1
Heidelberg Materials,2025-12-14,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,58.9,1.37,7.07,33.9,38.9
Siemens,2025-12-14,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.5,1.92,7.11,33.5,38.5
BASF,2025-12-14,59.1,15.0,25.9,Kurzfristige Tendenz,59.1,20.0,20.9,Mittelfristige Tendenz,58.1,3.53,1.15,33.1,38.1
Beiersdorf,2025-12-14,58.6,15.0,26.4,Kurzfristige Tendenz,58.6,20.0,21.4,Mittelfristige Tendenz,57.3,6.09,3.48,32.3,37.3
Rheinmetall,2025-12-14,56.2,15.0,28.8,Kurzfristige Tendenz,56.2,20.0,23.8,Mittelfristige Tendenz,52.4,5.66,11.99,27.4,32.4
BMW,2025-12-14,56.0,15.0,29.0,Kurzfristige Tendenz,66.0,20.0,14.0,Mittelfristige Tendenz,71.9,-1.03,10.45,26.9,51.9
Henkel,2025-12-14,54.7,15.0,30.3,Kurzfristige Tendenz,54.7,20.0,25.3,Mittelfristige Tendenz,49.4,1.95,0.89,24.4,29.4
Vonovia,2025-12-14,31.7,15.0,53.3,Kurzfristige Tendenz,31.7,20.0,48.3,Mittelfristige Tendenz,23.3,-4.91,-7.32,21.7,16.7
Fresenius Medical Care,2025-12-14,52.1,15.0,32.9,Kurzfristige Tendenz,42.1,20.0,37.9,Mittelfristige Tendenz,44.3,1.67,-3.07,19.3,4.3
Siemens Energy,2025-12-14,49.2,15.0,35.8,Kurzfristige Tendenz,59.2,20.0,20.8,Mittelfristige Tendenz,58.3,0.72,17.31,13.3,38.3
Symrise,2025-12-14,35.9,15.0,49.1,Kurzfristige Tendenz,35.9,20.0,44.1,Mittelfristige Tendenz,31.9,0.24,-4.64,13.1,8.1
Airbus,2025-12-14,37.4,15.0,47.6,Kurzfristige Tendenz,37.4,20.0,42.6,Mittelfristige Tendenz,34.9,-2.08,-3.05,10.1,5.1
RWE,2025-12-14,37.5,15.0,47.5,Kurzfristige Tendenz,37.5,20.0,42.5,Mittelfristige Tendenz,35.0,-0.85,-2.22,10.0,5.0
Commerzbank,2025-12-14,46.7,15.0,38.3,Kurzfristige Tendenz,56.7,20.0,23.3,Mittelfristige Tendenz,53.4,1.09,7.69,8.4,33.4
Qiagen,2025-12-14,38.3,15.0,46.7,Kurzfristige Tendenz,38.3,20.0,41.7,Mittelfristige Tendenz,36.6,-3.63,-6.6,8.4,3.4
Infineon,2025-12-14,46.6,15.0,38.4,Kurzfristige Tendenz,56.6,20.0,23.4,Mittelfristige Tendenz,53.1,-3.51,10.42,8.1,33.1
Deutsche Telekom,2025-12-14,39.3,15.0,45.7,Kurzfristige Tendenz,39.3,20.0,40.7,Mittelfristige Tendenz,38.6,-2.72,-1.43,6.4,1.4
Deutsche Bank,2025-12-14,45.1,15.0,39.9,Kurzfristige Tendenz,55.1,20.0,24.9,Mittelfristige Tendenz,50.3,0.17,6.98,5.3,30.3
MTU Aero Engines,2025-12-14,44.0,15.0,41.0,Kurzfristige Tendenz,54.0,20.0,26.0,Mittelfristige Tendenz,48.0,-0.7,1.32,3.0,28.0
Zalando,2025-12-14,43.6,15.0,41.4,Kurzfristige Tendenz,53.6,20.0,26.4,Mittelfristige Tendenz,47.1,-2.7,4.43,2.1,27.1
SAP,2025-12-14,41.5,15.0,43.5,Kurzfristige Tendenz,51.5,20.0,28.5,Mittelfristige Tendenz,43.1,-0.9,0.34,1.9,23.1
