Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Allianz,2025-12-27,68.5,15.0,16.5,Kurzfristige Tendenz,68.5,20.0,11.5,Mittelfristige Tendenz,77.0,2.01,7.06,52.0,57.0
Münchener Rück,2025-12-27,68.2,15.0,16.8,Kurzfristige Tendenz,68.2,20.0,11.8,Mittelfristige Tendenz,76.3,0.82,5.63,51.3,56.3
Siemens Healthineers,2025-12-27,67.9,15.0,17.1,Kurzfristige Tendenz,67.9,20.0,12.1,Mittelfristige Tendenz,75.8,1.07,5.13,50.8,55.8
Zalando,2025-12-27,67.5,15.0,17.5,Kurzfristige Tendenz,67.5,20.0,12.5,Mittelfristige Tendenz,75.1,7.93,5.46,50.1,55.1
Hannover Rück,2025-12-27,67.5,15.0,17.5,Kurzfristige Tendenz,67.5,20.0,12.5,Mittelfristige Tendenz,74.9,2.14,6.13,49.9,54.9
Deutsche Bank,2025-12-27,66.9,15.0,18.1,Kurzfristige Tendenz,66.9,20.0,13.1,Mittelfristige Tendenz,73.8,4.68,8.81,48.8,53.8
Merck,2025-12-27,65.4,15.0,19.6,Kurzfristige Tendenz,65.4,20.0,14.6,Mittelfristige Tendenz,70.8,1.22,0.54,45.8,50.8
Siemens,2025-12-27,65.0,15.0,20.0,Kurzfristige Tendenz,65.0,20.0,15.0,Mittelfristige Tendenz,70.0,0.13,3.96,45.0,50.0
Commerzbank,2025-12-27,64.7,15.0,20.3,Kurzfristige Tendenz,64.7,20.0,15.3,Mittelfristige Tendenz,69.4,3.51,6.4,44.4,49.4
Siemens Energy,2025-12-27,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,1.13,5.87,44.0,49.0
Bayer,2025-12-27,63.6,15.0,21.4,Kurzfristige Tendenz,63.6,20.0,16.4,Mittelfristige Tendenz,67.2,2.52,4.93,42.2,47.2
Fresenius,2025-12-27,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.8,2.8,2.89,41.8,46.8
Infineon,2025-12-27,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.8,2.0,-0.07,39.8,44.8
RWE,2025-12-27,62.1,15.0,22.9,Kurzfristige Tendenz,62.1,20.0,17.9,Mittelfristige Tendenz,64.1,3.9,2.31,39.1,44.1
E.ON,2025-12-27,61.7,15.0,23.3,Kurzfristige Tendenz,61.7,20.0,18.3,Mittelfristige Tendenz,63.5,3.87,0.98,38.5,43.5
Deutsche Börse,2025-12-27,60.7,15.0,24.3,Kurzfristige Tendenz,60.7,20.0,19.3,Mittelfristige Tendenz,61.4,4.29,-0.09,36.4,41.4
Heidelberg Materials,2025-12-27,60.6,15.0,24.4,Kurzfristige Tendenz,60.6,20.0,19.4,Mittelfristige Tendenz,61.2,-0.36,2.45,36.2,41.2
Deutsche Telekom,2025-12-27,59.9,15.0,25.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.8,2.77,1.03,34.8,39.8
Fresenius Medical Care,2025-12-27,56.6,15.0,28.4,Kurzfristige Tendenz,56.6,20.0,23.4,Mittelfristige Tendenz,53.2,1.02,0.92,28.2,33.2
Vonovia,2025-12-27,29.0,15.0,56.0,Kurzfristige Tendenz,29.0,20.0,51.0,Mittelfristige Tendenz,17.9,-0.74,-5.51,27.1,22.1
Airbus,2025-12-27,55.3,15.0,29.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.7,2.0,-0.66,25.7,30.7
SAP,2025-12-27,54.0,15.0,31.0,Kurzfristige Tendenz,44.0,20.0,36.0,Mittelfristige Tendenz,48.0,0.51,0.58,23.0,8.0
Symrise,2025-12-27,54.0,15.0,31.0,Kurzfristige Tendenz,44.0,20.0,36.0,Mittelfristige Tendenz,47.9,2.06,-0.12,22.9,7.9
Porsche,2025-12-27,50.3,15.0,34.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.6,-2.74,5.86,15.6,40.6
Qiagen,2025-12-27,50.1,15.0,34.9,Kurzfristige Tendenz,40.1,20.0,39.9,Mittelfristige Tendenz,40.1,2.62,-2.34,15.1,0.1
Continental,2025-12-27,49.9,15.0,35.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.7,-0.69,-0.66,14.7,39.7
Adidas,2025-12-27,48.8,15.0,36.2,Kurzfristige Tendenz,58.8,20.0,21.2,Mittelfristige Tendenz,57.6,-2.46,2.91,12.6,37.6
Volkswagen,2025-12-27,47.5,15.0,37.5,Kurzfristige Tendenz,47.5,20.0,32.5,Mittelfristige Tendenz,54.9,-2.76,0.88,9.9,14.9
MTU Aero Engines,2025-12-27,47.3,15.0,37.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.6,0.71,2.4,9.6,34.6
Beiersdorf,2025-12-27,47.1,15.0,37.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.3,-0.88,2.25,9.3,34.3
BMW,2025-12-27,46.6,15.0,38.4,Kurzfristige Tendenz,46.6,20.0,33.4,Mittelfristige Tendenz,53.1,-1.7,3.9,8.1,13.1
Rheinmetall,2025-12-27,46.5,15.0,38.5,Kurzfristige Tendenz,56.5,20.0,23.5,Mittelfristige Tendenz,53.0,0.92,1.45,8.0,33.0
Daimler Truck,2025-12-27,44.7,15.0,40.3,Kurzfristige Tendenz,44.7,20.0,35.3,Mittelfristige Tendenz,49.4,-1.07,4.31,4.4,9.4
Henkel,2025-12-27,44.5,15.0,40.5,Kurzfristige Tendenz,54.5,20.0,25.5,Mittelfristige Tendenz,48.9,-0.74,1.1,3.9,28.9
Mercedes-Benz,2025-12-27,43.7,15.0,41.3,Kurzfristige Tendenz,43.7,20.0,36.3,Mittelfristige Tendenz,47.4,-2.03,2.86,2.4,7.4
Brenntag,2025-12-27,41.7,15.0,43.3,Kurzfristige Tendenz,41.7,20.0,38.3,Mittelfristige Tendenz,43.5,-3.31,0.08,1.5,3.5
BASF,2025-12-27,41.8,15.0,43.2,Kurzfristige Tendenz,41.8,20.0,38.2,Mittelfristige Tendenz,43.6,-1.98,-1.31,1.4,3.6
Deutsche Post,2025-12-27,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-12-27,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-12-27,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
