Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Commerzbank,2025-11-11,66.9,15.0,18.1,Kurzfristige Tendenz,66.9,20.0,13.1,Mittelfristige Tendenz,73.9,3.87,14.04,48.9,53.9
Deutsche Bank,2025-11-11,66.8,15.0,18.2,Kurzfristige Tendenz,66.8,20.0,13.2,Mittelfristige Tendenz,73.6,2.9,13.58,48.6,53.6
RWE,2025-11-11,66.3,15.0,18.7,Kurzfristige Tendenz,66.3,20.0,13.7,Mittelfristige Tendenz,72.6,2.42,7.73,47.6,52.6
Volkswagen,2025-11-11,65.0,15.0,20.0,Kurzfristige Tendenz,65.0,20.0,15.0,Mittelfristige Tendenz,70.0,2.29,6.99,45.0,50.0
Henkel,2025-11-11,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.9,2.25,0.11,41.9,46.9
BMW,2025-11-11,63.3,15.0,21.7,Kurzfristige Tendenz,63.3,20.0,16.7,Mittelfristige Tendenz,66.6,0.23,6.86,41.6,46.6
Porsche,2025-11-11,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,63.9,1.25,3.42,38.9,43.9
Airbus,2025-11-11,61.2,15.0,23.8,Kurzfristige Tendenz,61.2,20.0,18.8,Mittelfristige Tendenz,62.5,-0.45,3.04,37.5,42.5
Daimler Truck,2025-11-11,61.1,15.0,23.9,Kurzfristige Tendenz,61.1,20.0,18.9,Mittelfristige Tendenz,62.1,0.54,1.28,37.1,42.1
Hannover Rück,2025-11-11,60.9,15.0,24.1,Kurzfristige Tendenz,60.9,20.0,19.1,Mittelfristige Tendenz,61.7,4.27,0.54,36.7,41.7
Heidelberg Materials,2025-11-11,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.6,-1.74,4.52,33.6,38.6
Siemens,2025-11-11,57.3,15.0,27.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.7,0.69,1.94,29.7,34.7
Siemens Energy,2025-11-11,57.3,15.0,27.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.6,0.28,12.27,29.6,34.6
BASF,2025-11-11,55.4,15.0,29.6,Kurzfristige Tendenz,45.4,20.0,34.6,Mittelfristige Tendenz,50.8,-0.02,-0.23,25.8,10.8
Adidas,2025-11-11,30.5,15.0,54.5,Kurzfristige Tendenz,30.5,20.0,49.5,Mittelfristige Tendenz,21.0,-0.41,-16.17,24.0,19.0
Fresenius Medical Care,2025-11-11,30.5,15.0,54.5,Kurzfristige Tendenz,30.5,20.0,49.5,Mittelfristige Tendenz,21.0,0.02,-12.7,24.0,19.0
