Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Deutsche Börse,2025-11-28,63.5,15.0,21.5,Kurzfristige Tendenz,63.5,20.0,16.5,Mittelfristige Tendenz,67.0,5.56,9.35,42.0,47.0
Heidelberg Materials,2025-11-28,61.7,15.0,23.3,Kurzfristige Tendenz,61.7,20.0,18.3,Mittelfristige Tendenz,63.5,6.02,9.44,38.5,43.5
BASF,2025-11-28,61.7,15.0,23.3,Kurzfristige Tendenz,61.7,20.0,18.3,Mittelfristige Tendenz,63.4,0.9,3.97,38.4,43.4
Allianz,2025-11-28,61.4,15.0,23.6,Kurzfristige Tendenz,61.4,20.0,18.6,Mittelfristige Tendenz,62.8,1.79,3.53,37.8,42.8
Infineon,2025-11-28,60.8,15.0,24.2,Kurzfristige Tendenz,60.8,20.0,19.2,Mittelfristige Tendenz,61.6,9.39,7.81,36.6,41.6
BMW,2025-11-28,60.5,15.0,24.5,Kurzfristige Tendenz,60.5,20.0,19.5,Mittelfristige Tendenz,60.9,0.64,0.78,35.9,40.9
Commerzbank,2025-11-28,60.4,15.0,24.6,Kurzfristige Tendenz,60.4,20.0,19.6,Mittelfristige Tendenz,60.8,5.85,-0.18,35.8,40.8
Volkswagen,2025-11-28,60.2,15.0,24.8,Kurzfristige Tendenz,60.2,20.0,19.8,Mittelfristige Tendenz,60.4,1.36,1.21,35.4,40.4
Siemens Energy,2025-11-28,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.2,13.05,7.0,35.2,40.2
Porsche,2025-11-28,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.3,1.77,2.71,34.3,39.3
Brenntag,2025-11-28,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,58.9,1.06,6.48,33.9,38.9
Merck,2025-11-28,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.7,2.66,5.56,33.7,38.7
Beiersdorf,2025-11-28,58.2,15.0,26.8,Kurzfristige Tendenz,58.2,20.0,21.8,Mittelfristige Tendenz,56.4,2.57,-0.71,31.4,36.4
Mercedes-Benz,2025-11-28,57.6,15.0,27.4,Kurzfristige Tendenz,47.6,20.0,32.4,Mittelfristige Tendenz,55.3,0.75,-0.91,30.3,15.3
Vonovia,2025-11-28,56.2,15.0,28.8,Kurzfristige Tendenz,56.2,20.0,23.8,Mittelfristige Tendenz,52.3,0.57,4.62,27.3,32.3
Münchener Rück,2025-11-28,55.5,15.0,29.5,Kurzfristige Tendenz,55.5,20.0,24.5,Mittelfristige Tendenz,51.0,1.88,-0.48,26.0,31.0
Continental,2025-11-28,55.3,15.0,29.7,Kurzfristige Tendenz,45.3,20.0,34.7,Mittelfristige Tendenz,50.6,2.87,-3.76,25.6,10.6
Deutsche Bank,2025-11-28,54.8,15.0,30.2,Kurzfristige Tendenz,44.8,20.0,35.2,Mittelfristige Tendenz,49.6,3.27,-2.63,24.6,9.6
Deutsche Telekom,2025-11-28,54.6,15.0,30.4,Kurzfristige Tendenz,54.6,20.0,25.4,Mittelfristige Tendenz,49.1,1.18,3.11,24.1,29.1
Bayer,2025-11-28,54.0,15.0,31.0,Kurzfristige Tendenz,64.0,20.0,16.0,Mittelfristige Tendenz,68.1,-0.34,15.06,23.1,48.1
