Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Mercedes-Benz,2025-11-15,69.3,15.0,15.7,Kurzfristige Tendenz,69.3,20.0,10.7,Mittelfristige Tendenz,78.6,1.9,10.32,53.6,58.6
Porsche,2025-11-15,68.6,15.0,16.4,Kurzfristige Tendenz,68.6,20.0,11.4,Mittelfristige Tendenz,77.1,4.55,6.55,52.1,57.1
BMW,2025-11-15,67.3,15.0,17.7,Kurzfristige Tendenz,67.3,20.0,12.7,Mittelfristige Tendenz,74.6,2.09,8.86,49.6,54.6
RWE,2025-11-15,64.9,15.0,20.1,Kurzfristige Tendenz,64.9,20.0,15.1,Mittelfristige Tendenz,69.9,5.11,12.9,44.9,49.9
Siemens Energy,2025-11-15,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.7,3.76,7.28,39.7,44.7
Merck,2025-11-15,61.8,15.0,23.2,Kurzfristige Tendenz,61.8,20.0,18.2,Mittelfristige Tendenz,63.6,7.16,2.75,38.6,43.6
Allianz,2025-11-15,61.7,15.0,23.3,Kurzfristige Tendenz,61.7,20.0,18.3,Mittelfristige Tendenz,63.3,3.03,3.17,38.3,43.3
Bayer,2025-11-15,61.1,15.0,23.9,Kurzfristige Tendenz,61.1,20.0,18.9,Mittelfristige Tendenz,62.1,7.19,2.88,37.1,42.1
Infineon,2025-11-15,60.2,15.0,24.8,Kurzfristige Tendenz,60.2,20.0,19.8,Mittelfristige Tendenz,60.5,5.85,2.93,35.5,40.5
Hannover Rück,2025-11-15,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.2,3.68,1.25,35.2,40.2
Brenntag,2025-11-15,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.6,5.86,,33.6,38.6
Fresenius Medical Care,2025-11-15,29.9,15.0,55.1,Kurzfristige Tendenz,29.9,20.0,50.1,Mittelfristige Tendenz,19.8,-3.78,-13.36,25.2,20.2
Volkswagen,2025-11-15,54.7,15.0,30.3,Kurzfristige Tendenz,64.7,20.0,15.3,Mittelfristige Tendenz,69.4,2.05,6.9,24.4,49.4
Deutsche Börse,2025-11-15,30.8,15.0,54.2,Kurzfristige Tendenz,30.8,20.0,49.2,Mittelfristige Tendenz,21.5,-1.15,-9.25,23.5,18.5
E.ON,2025-11-15,31.7,15.0,53.3,Kurzfristige Tendenz,31.7,20.0,48.3,Mittelfristige Tendenz,23.5,-4.72,-5.07,21.5,16.5
Münchener Rück,2025-11-15,53.1,15.0,31.9,Kurzfristige Tendenz,53.1,20.0,26.9,Mittelfristige Tendenz,46.2,0.44,-0.94,21.2,26.2
Commerzbank,2025-11-15,50.7,15.0,34.3,Kurzfristige Tendenz,60.7,20.0,19.3,Mittelfristige Tendenz,61.4,-1.09,9.93,16.4,41.4
SAP,2025-11-15,34.6,15.0,50.4,Kurzfristige Tendenz,34.6,20.0,45.4,Mittelfristige Tendenz,29.2,-2.38,-10.38,15.8,10.8
Vonovia,2025-11-15,49.7,15.0,35.3,Kurzfristige Tendenz,39.7,20.0,40.3,Mittelfristige Tendenz,39.4,3.19,-5.37,14.4,0.6
Heidelberg Materials,2025-11-15,49.7,15.0,35.3,Kurzfristige Tendenz,59.7,20.0,20.3,Mittelfristige Tendenz,59.3,3.92,4.03,14.3,39.3
MTU Aero Engines,2025-11-15,35.6,15.0,49.4,Kurzfristige Tendenz,35.6,20.0,44.4,Mittelfristige Tendenz,31.3,-2.71,-5.65,13.7,8.7
Adidas,2025-11-15,36.1,15.0,48.9,Kurzfristige Tendenz,36.1,20.0,43.9,Mittelfristige Tendenz,32.1,2.5,-13.72,12.9,7.9
Deutsche Bank,2025-11-15,48.8,15.0,36.2,Kurzfristige Tendenz,58.8,20.0,21.2,Mittelfristige Tendenz,57.6,1.76,9.33,12.6,37.6
Siemens Healthineers,2025-11-15,36.5,15.0,48.5,Kurzfristige Tendenz,36.5,20.0,43.5,Mittelfristige Tendenz,33.0,1.18,-11.34,12.0,7.0
BASF,2025-11-15,48.5,15.0,36.5,Kurzfristige Tendenz,58.5,20.0,21.5,Mittelfristige Tendenz,56.9,1.05,0.16,11.9,36.9
Continental,2025-11-15,48.1,15.0,36.9,Kurzfristige Tendenz,48.1,20.0,31.9,Mittelfristige Tendenz,56.2,-4.74,-2.32,11.2,16.2
Zalando,2025-11-15,36.9,15.0,48.1,Kurzfristige Tendenz,36.9,20.0,43.1,Mittelfristige Tendenz,33.9,1.59,-12.48,11.1,6.1
Deutsche Telekom,2025-11-15,47.9,15.0,37.1,Kurzfristige Tendenz,37.9,20.0,42.1,Mittelfristige Tendenz,35.9,2.06,-6.07,10.9,4.1
Qiagen,2025-11-15,47.8,15.0,37.2,Kurzfristige Tendenz,37.8,20.0,42.2,Mittelfristige Tendenz,35.6,2.17,-8.83,10.6,4.4
Daimler Truck,2025-11-15,46.6,15.0,38.4,Kurzfristige Tendenz,56.6,20.0,23.4,Mittelfristige Tendenz,53.2,-1.01,0.43,8.2,33.2
Siemens,2025-11-15,38.5,15.0,46.5,Kurzfristige Tendenz,38.5,20.0,41.5,Mittelfristige Tendenz,37.1,-6.25,-6.67,7.9,2.9
