Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-05,71.5,15.0,13.5,Kurzfristige Tendenz,71.5,20.0,8.5,Mittelfristige Tendenz,83.1,7.59,8.39,58.1,63.1
Porsche,2025-12-05,71.0,15.0,14.0,Kurzfristige Tendenz,71.0,20.0,9.0,Mittelfristige Tendenz,82.0,7.51,6.68,57.0,62.0
Bayer,2025-12-05,69.0,15.0,16.0,Kurzfristige Tendenz,69.0,20.0,11.0,Mittelfristige Tendenz,78.0,10.51,18.61,53.0,58.0
BMW,2025-12-05,68.0,15.0,17.0,Kurzfristige Tendenz,68.0,20.0,12.0,Mittelfristige Tendenz,75.9,6.18,5.34,50.9,55.9
Merck,2025-12-05,67.5,15.0,17.5,Kurzfristige Tendenz,67.5,20.0,12.5,Mittelfristige Tendenz,75.0,3.41,2.04,50.0,55.0
Daimler Truck,2025-12-05,62.8,15.0,22.2,Kurzfristige Tendenz,62.8,20.0,17.2,Mittelfristige Tendenz,65.7,3.67,7.48,40.7,45.7
Adidas,2025-12-05,62.8,15.0,22.2,Kurzfristige Tendenz,62.8,20.0,17.2,Mittelfristige Tendenz,65.5,2.74,1.95,40.5,45.5
Mercedes-Benz,2025-12-05,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,64.0,4.4,1.95,39.0,44.0
Infineon,2025-12-05,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,64.0,1.5,4.48,39.0,44.0
Siemens Energy,2025-12-05,61.9,15.0,23.1,Kurzfristige Tendenz,61.9,20.0,18.1,Mittelfristige Tendenz,63.9,3.64,8.14,38.9,43.9
Zalando,2025-12-05,61.1,15.0,23.9,Kurzfristige Tendenz,61.1,20.0,18.9,Mittelfristige Tendenz,62.2,2.76,3.92,37.2,42.2
Heidelberg Materials,2025-12-05,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.5,-0.45,5.31,35.5,40.5
