Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Porsche,2025-12-09,72.8,15.0,12.2,Kurzfristige Tendenz,72.8,20.0,7.2,Mittelfristige Tendenz,85.6,8.98,14.92,60.6,65.6
BMW,2025-12-09,71.4,15.0,13.6,Kurzfristige Tendenz,71.4,20.0,8.6,Mittelfristige Tendenz,82.9,8.93,14.01,57.9,62.9
Volkswagen,2025-12-09,71.1,15.0,13.9,Kurzfristige Tendenz,71.1,20.0,8.9,Mittelfristige Tendenz,82.2,3.65,12.47,57.2,62.2
Bayer,2025-12-09,69.4,15.0,15.6,Kurzfristige Tendenz,69.4,20.0,10.6,Mittelfristige Tendenz,78.7,1.8,29.03,53.7,58.7
Allianz,2025-12-09,64.3,15.0,20.7,Kurzfristige Tendenz,64.3,20.0,15.7,Mittelfristige Tendenz,68.7,3.18,4.87,43.7,48.7
Infineon,2025-12-09,63.9,15.0,21.1,Kurzfristige Tendenz,63.9,20.0,16.1,Mittelfristige Tendenz,67.7,2.25,14.63,42.7,47.7
Mercedes-Benz,2025-12-09,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.9,6.83,8.13,41.9,46.9
Deutsche Börse,2025-12-09,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.7,1.21,8.0,39.7,44.7
Siemens Energy,2025-12-09,61.6,15.0,23.4,Kurzfristige Tendenz,61.6,20.0,18.4,Mittelfristige Tendenz,63.2,3.68,8.54,38.2,43.2
Heidelberg Materials,2025-12-09,61.3,15.0,23.7,Kurzfristige Tendenz,61.3,20.0,18.7,Mittelfristige Tendenz,62.7,1.48,2.91,37.7,42.7
Commerzbank,2025-12-09,60.4,15.0,24.6,Kurzfristige Tendenz,60.4,20.0,19.6,Mittelfristige Tendenz,60.8,3.9,10.1,35.8,40.8
Daimler Truck,2025-12-09,60.4,15.0,24.6,Kurzfristige Tendenz,60.4,20.0,19.6,Mittelfristige Tendenz,60.8,5.21,4.51,35.8,40.8
Deutsche Bank,2025-12-09,60.0,15.0,25.0,Kurzfristige Tendenz,60.0,20.0,20.0,Mittelfristige Tendenz,60.1,4.12,6.66,35.1,40.1
MTU Aero Engines,2025-12-09,57.5,15.0,27.5,Kurzfristige Tendenz,57.5,20.0,22.5,Mittelfristige Tendenz,55.0,3.76,2.28,30.0,35.0
Rheinmetall,2025-12-09,57.3,15.0,27.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.6,8.1,2.88,29.6,34.6
