Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Allianz,2025-11-27,65.8,15.0,19.2,Kurzfristige Tendenz,65.8,20.0,14.2,Mittelfristige Tendenz,71.5,2.81,5.66,46.5,51.5
Daimler Truck,2025-11-27,65.1,15.0,19.9,Kurzfristige Tendenz,65.1,20.0,14.9,Mittelfristige Tendenz,70.2,5.29,5.82,45.2,50.2
Bayer,2025-11-27,64.1,15.0,20.9,Kurzfristige Tendenz,64.1,20.0,15.9,Mittelfristige Tendenz,68.2,10.3,14.77,43.2,48.2
Deutsche Börse,2025-11-27,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.7,4.8,8.82,41.7,46.7
Commerzbank,2025-11-27,63.0,15.0,22.0,Kurzfristige Tendenz,63.0,20.0,17.0,Mittelfristige Tendenz,66.1,8.32,8.15,41.1,46.1
Heidelberg Materials,2025-11-27,62.7,15.0,22.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.5,7.76,12.99,40.5,45.5
Qiagen,2025-11-27,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.7,3.11,11.46,39.7,44.7
BMW,2025-11-27,60.8,15.0,24.2,Kurzfristige Tendenz,60.8,20.0,19.2,Mittelfristige Tendenz,61.6,3.08,4.03,36.6,41.6
Volkswagen,2025-11-27,60.7,15.0,24.3,Kurzfristige Tendenz,60.7,20.0,19.3,Mittelfristige Tendenz,61.3,2.36,4.46,36.3,41.3
Porsche,2025-11-27,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.5,2.79,5.45,35.5,40.5
BASF,2025-11-27,59.9,15.0,25.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.8,1.55,3.66,34.8,39.8
Hannover Rück,2025-11-27,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.2,1.41,3.36,34.2,39.2
Merck,2025-11-27,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.1,3.47,5.35,34.1,39.1
Siemens Energy,2025-11-27,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.1,11.61,4.9,34.1,39.1
Infineon,2025-11-27,58.9,15.0,26.1,Kurzfristige Tendenz,58.9,20.0,21.1,Mittelfristige Tendenz,57.8,11.03,3.74,32.8,37.8
Mercedes-Benz,2025-11-27,57.3,15.0,27.7,Kurzfristige Tendenz,47.3,20.0,32.7,Mittelfristige Tendenz,54.7,1.07,-0.96,29.7,14.7
Vonovia,2025-11-27,57.2,15.0,27.8,Kurzfristige Tendenz,57.2,20.0,22.8,Mittelfristige Tendenz,54.5,1.38,4.02,29.5,34.5
RWE,2025-11-27,57.0,15.0,28.0,Kurzfristige Tendenz,47.0,20.0,33.0,Mittelfristige Tendenz,54.1,0.02,2.16,29.1,14.1
Beiersdorf,2025-11-27,56.1,15.0,28.9,Kurzfristige Tendenz,56.1,20.0,23.9,Mittelfristige Tendenz,52.2,3.34,-1.18,27.2,32.2
Deutsche Telekom,2025-11-27,56.0,15.0,29.0,Kurzfristige Tendenz,56.0,20.0,24.0,Mittelfristige Tendenz,52.0,0.18,5.01,27.0,32.0
Deutsche Bank,2025-11-27,55.8,15.0,29.2,Kurzfristige Tendenz,45.8,20.0,34.2,Mittelfristige Tendenz,51.7,4.24,-2.2,26.7,11.7
Münchener Rück,2025-11-27,55.8,15.0,29.2,Kurzfristige Tendenz,55.8,20.0,24.2,Mittelfristige Tendenz,51.5,1.92,0.71,26.5,31.5
Continental,2025-11-27,54.7,15.0,30.3,Kurzfristige Tendenz,44.7,20.0,35.3,Mittelfristige Tendenz,49.5,2.55,-4.06,24.5,9.5
Zalando,2025-11-27,52.6,15.0,32.4,Kurzfristige Tendenz,52.6,20.0,27.4,Mittelfristige Tendenz,45.1,4.2,-4.43,20.1,25.1
Adidas,2025-11-27,52.2,15.0,32.8,Kurzfristige Tendenz,52.2,20.0,27.8,Mittelfristige Tendenz,44.5,6.07,0.91,19.5,24.5
Airbus,2025-11-27,51.5,15.0,33.5,Kurzfristige Tendenz,41.5,20.0,38.5,Mittelfristige Tendenz,43.0,0.81,-2.04,18.0,3.0
Siemens,2025-11-27,51.1,15.0,33.9,Kurzfristige Tendenz,41.1,20.0,38.9,Mittelfristige Tendenz,42.2,4.22,-5.46,17.2,2.2
E.ON,2025-11-27,50.3,15.0,34.7,Kurzfristige Tendenz,40.3,20.0,39.7,Mittelfristige Tendenz,40.7,-0.45,-4.49,15.7,0.7
Fresenius,2025-11-27,50.2,15.0,34.8,Kurzfristige Tendenz,40.2,20.0,39.8,Mittelfristige Tendenz,40.5,1.13,-1.62,15.5,0.5
Symrise,2025-11-27,50.2,15.0,34.8,Kurzfristige Tendenz,40.2,20.0,39.8,Mittelfristige Tendenz,40.3,0.51,-0.59,15.3,0.3
MTU Aero Engines,2025-11-27,48.8,15.0,36.2,Kurzfristige Tendenz,38.8,20.0,41.2,Mittelfristige Tendenz,37.7,2.01,-2.07,12.7,2.3
Rheinmetall,2025-11-27,47.7,15.0,37.3,Kurzfristige Tendenz,37.7,20.0,42.3,Mittelfristige Tendenz,35.4,0.2,-10.86,10.4,4.6
Brenntag,2025-11-27,47.6,15.0,37.4,Kurzfristige Tendenz,57.6,20.0,22.4,Mittelfristige Tendenz,55.3,0.72,6.18,10.3,35.3
SAP,2025-11-27,46.7,15.0,38.3,Kurzfristige Tendenz,36.7,20.0,43.3,Mittelfristige Tendenz,33.4,1.51,-4.52,8.4,6.6
Fresenius Medical Care,2025-11-27,38.8,15.0,46.2,Kurzfristige Tendenz,38.8,20.0,41.2,Mittelfristige Tendenz,37.6,1.46,-2.16,7.4,2.4
Siemens Healthineers,2025-11-27,45.7,15.0,39.3,Kurzfristige Tendenz,35.7,20.0,44.3,Mittelfristige Tendenz,31.4,1.68,-4.11,6.4,8.6
Henkel,2025-11-27,39.6,15.0,45.4,Kurzfristige Tendenz,39.6,20.0,40.4,Mittelfristige Tendenz,39.2,-1.17,-3.1,5.8,0.8
Deutsche Post,2025-11-27,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-11-27,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-11-27,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
