Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Siemens Healthineers,2025-12-22,71.8,15.0,13.2,Kurzfristige Tendenz,71.8,20.0,8.2,Mittelfristige Tendenz,83.6,1.2,4.43,58.6,63.6
Zalando,2025-12-22,71.3,15.0,13.7,Kurzfristige Tendenz,71.3,20.0,8.7,Mittelfristige Tendenz,82.6,8.27,7.67,57.6,62.6
Allianz,2025-12-22,67.7,15.0,17.3,Kurzfristige Tendenz,67.7,20.0,12.3,Mittelfristige Tendenz,75.3,1.57,4.71,50.3,55.3
Continental,2025-12-22,67.0,15.0,18.0,Kurzfristige Tendenz,67.0,20.0,13.0,Mittelfristige Tendenz,74.0,0.81,2.51,49.0,54.0
Siemens,2025-12-22,66.7,15.0,18.3,Kurzfristige Tendenz,66.7,20.0,13.3,Mittelfristige Tendenz,73.4,1.01,5.54,48.4,53.4
Deutsche Bank,2025-12-22,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.7,3.66,5.94,46.7,51.7
Siemens Energy,2025-12-22,65.4,15.0,19.6,Kurzfristige Tendenz,65.4,20.0,14.6,Mittelfristige Tendenz,70.7,1.09,4.01,45.7,50.7
Commerzbank,2025-12-22,65.0,15.0,20.0,Kurzfristige Tendenz,65.0,20.0,15.0,Mittelfristige Tendenz,70.0,3.36,3.18,45.0,50.0
Bayer,2025-12-22,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,2.32,5.04,44.0,49.0
Adidas,2025-12-22,64.3,15.0,20.7,Kurzfristige Tendenz,64.3,20.0,15.7,Mittelfristige Tendenz,68.7,-0.24,4.77,43.7,48.7
Hannover Rück,2025-12-22,64.0,15.0,21.0,Kurzfristige Tendenz,64.0,20.0,16.0,Mittelfristige Tendenz,67.9,0.69,2.57,42.9,47.9
Merck,2025-12-22,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.7,0.08,2.1,39.7,44.7
Infineon,2025-12-22,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.5,1.93,2.56,39.5,44.5
MTU Aero Engines,2025-12-22,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.2,1.51,4.36,35.2,40.2
E.ON,2025-12-22,59.4,15.0,25.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.7,2.34,2.91,33.7,38.7
