Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Bayer,2025-11-25,64.0,15.0,21.0,Kurzfristige Tendenz,64.0,20.0,16.0,Mittelfristige Tendenz,68.0,11.79,14.3,43.0,48.0
Qiagen,2025-11-25,61.1,15.0,23.9,Kurzfristige Tendenz,61.1,20.0,18.9,Mittelfristige Tendenz,62.3,7.84,7.42,37.3,42.3
Allianz,2025-11-25,59.2,15.0,25.8,Kurzfristige Tendenz,59.2,20.0,20.8,Mittelfristige Tendenz,58.5,0.97,1.82,33.5,38.5
BASF,2025-11-25,59.0,15.0,26.0,Kurzfristige Tendenz,59.0,20.0,21.0,Mittelfristige Tendenz,58.0,2.41,2.6,33.0,38.0
Daimler Truck,2025-11-25,58.7,15.0,26.3,Kurzfristige Tendenz,58.7,20.0,21.3,Mittelfristige Tendenz,57.4,0.5,1.5,32.4,37.4
BMW,2025-11-25,58.6,15.0,26.4,Kurzfristige Tendenz,58.6,20.0,21.4,Mittelfristige Tendenz,57.2,1.46,0.75,32.2,37.2
Heidelberg Materials,2025-11-25,58.2,15.0,26.8,Kurzfristige Tendenz,58.2,20.0,21.8,Mittelfristige Tendenz,56.4,-1.12,1.93,31.4,36.4
Mercedes-Benz,2025-11-25,57.7,15.0,27.3,Kurzfristige Tendenz,47.7,20.0,32.3,Mittelfristige Tendenz,55.4,1.02,-1.18,30.4,15.4
Volkswagen,2025-11-25,57.6,15.0,27.4,Kurzfristige Tendenz,57.6,20.0,22.4,Mittelfristige Tendenz,55.1,0.44,1.93,30.1,35.1
Porsche,2025-11-25,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.2,1.43,2.5,29.2,34.2
Commerzbank,2025-11-25,56.7,15.0,28.3,Kurzfristige Tendenz,46.7,20.0,33.3,Mittelfristige Tendenz,53.3,2.24,-0.43,28.3,13.3
Brenntag,2025-11-25,56.3,15.0,28.7,Kurzfristige Tendenz,56.3,20.0,23.7,Mittelfristige Tendenz,52.5,1.1,1.74,27.5,32.5
Siemens Energy,2025-11-25,55.5,15.0,29.5,Kurzfristige Tendenz,45.5,20.0,34.5,Mittelfristige Tendenz,51.1,-1.84,-0.28,26.1,11.1
Deutsche Börse,2025-11-25,55.5,15.0,29.5,Kurzfristige Tendenz,55.5,20.0,24.5,Mittelfristige Tendenz,51.0,3.1,-1.59,26.0,31.0
Infineon,2025-11-25,54.3,15.0,30.7,Kurzfristige Tendenz,44.3,20.0,35.7,Mittelfristige Tendenz,48.6,2.85,-1.58,23.6,8.6
Adidas,2025-11-25,31.2,15.0,53.8,Kurzfristige Tendenz,31.2,20.0,48.8,Mittelfristige Tendenz,22.3,-0.65,-4.62,22.7,17.7
Vonovia,2025-11-25,53.8,15.0,31.2,Kurzfristige Tendenz,53.8,20.0,26.2,Mittelfristige Tendenz,47.7,0.31,3.36,22.7,27.7
Merck,2025-11-25,53.6,15.0,31.4,Kurzfristige Tendenz,43.6,20.0,36.4,Mittelfristige Tendenz,47.2,1.49,1.63,22.2,7.2
Deutsche Telekom,2025-11-25,52.8,15.0,32.2,Kurzfristige Tendenz,52.8,20.0,27.2,Mittelfristige Tendenz,45.7,0.59,2.67,20.7,25.7
Continental,2025-11-25,52.7,15.0,32.3,Kurzfristige Tendenz,42.7,20.0,37.3,Mittelfristige Tendenz,45.5,2.02,-3.83,20.5,5.5
SAP,2025-11-25,32.9,15.0,52.1,Kurzfristige Tendenz,32.9,20.0,47.1,Mittelfristige Tendenz,25.7,0.22,-9.65,19.3,14.3
Rheinmetall,2025-11-25,33.7,15.0,51.3,Kurzfristige Tendenz,33.7,20.0,46.3,Mittelfristige Tendenz,27.4,-7.83,-13.83,17.6,12.6
Zalando,2025-11-25,35.6,15.0,49.4,Kurzfristige Tendenz,35.6,20.0,44.4,Mittelfristige Tendenz,31.1,-2.78,-2.87,13.9,8.9
Beiersdorf,2025-11-25,49.2,15.0,35.8,Kurzfristige Tendenz,39.2,20.0,40.8,Mittelfristige Tendenz,38.4,1.22,-3.32,13.4,1.6
Symrise,2025-11-25,36.0,15.0,49.0,Kurzfristige Tendenz,36.0,20.0,44.0,Mittelfristige Tendenz,32.0,-0.29,-4.03,13.0,8.0
Fresenius Medical Care,2025-11-25,48.9,15.0,36.1,Kurzfristige Tendenz,38.9,20.0,41.1,Mittelfristige Tendenz,37.9,4.5,0.32,12.9,2.1
E.ON,2025-11-25,36.2,15.0,48.8,Kurzfristige Tendenz,36.2,20.0,43.8,Mittelfristige Tendenz,32.4,-0.23,-4.95,12.6,7.6
Fresenius,2025-11-25,48.6,15.0,36.4,Kurzfristige Tendenz,38.6,20.0,41.4,Mittelfristige Tendenz,37.2,1.18,-1.69,12.2,2.8
Siemens,2025-11-25,47.1,15.0,37.9,Kurzfristige Tendenz,37.1,20.0,42.9,Mittelfristige Tendenz,34.2,2.06,-8.94,9.2,5.8
Airbus,2025-11-25,38.4,15.0,46.6,Kurzfristige Tendenz,38.4,20.0,41.6,Mittelfristige Tendenz,36.8,-0.49,-4.86,8.2,3.2
RWE,2025-11-25,46.4,15.0,38.6,Kurzfristige Tendenz,46.4,20.0,33.6,Mittelfristige Tendenz,52.9,-0.23,2.86,7.9,12.9
Münchener Rück,2025-11-25,46.0,15.0,39.0,Kurzfristige Tendenz,36.0,20.0,44.0,Mittelfristige Tendenz,32.1,0.11,-2.17,7.1,7.9
Henkel,2025-11-25,39.6,15.0,45.4,Kurzfristige Tendenz,39.6,20.0,40.4,Mittelfristige Tendenz,39.2,-0.69,-2.14,5.8,0.8
