Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-12,72.2,15.0,12.8,Kurzfristige Tendenz,72.2,20.0,7.8,Mittelfristige Tendenz,84.4,0.89,12.86,59.4,64.4
Porsche,2025-12-12,69.6,15.0,15.4,Kurzfristige Tendenz,69.6,20.0,10.4,Mittelfristige Tendenz,79.2,1.24,13.43,54.2,59.2
Bayer,2025-12-12,69.5,15.0,15.5,Kurzfristige Tendenz,69.5,20.0,10.5,Mittelfristige Tendenz,79.0,4.59,19.2,54.0,59.0
Allianz,2025-12-12,66.7,15.0,18.3,Kurzfristige Tendenz,66.7,20.0,13.3,Mittelfristige Tendenz,73.4,4.33,6.26,48.4,53.4
Münchener Rück,2025-12-12,66.4,15.0,18.6,Kurzfristige Tendenz,66.4,20.0,13.6,Mittelfristige Tendenz,72.8,5.54,6.02,47.8,52.8
Siemens Energy,2025-12-12,64.9,15.0,20.1,Kurzfristige Tendenz,64.9,20.0,15.1,Mittelfristige Tendenz,69.9,5.45,22.82,44.9,49.9
Daimler Truck,2025-12-12,63.9,15.0,21.1,Kurzfristige Tendenz,63.9,20.0,16.1,Mittelfristige Tendenz,67.9,3.33,7.4,42.9,47.9
Adidas,2025-12-12,63.5,15.0,21.5,Kurzfristige Tendenz,63.5,20.0,16.5,Mittelfristige Tendenz,67.1,5.14,10.67,42.1,47.1
Deutsche Bank,2025-12-12,62.4,15.0,22.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.8,4.41,11.5,39.8,44.8
Heidelberg Materials,2025-12-12,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.7,2.73,8.52,39.7,44.7
Commerzbank,2025-12-12,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.6,4.26,11.07,39.6,44.6
Mercedes-Benz,2025-12-12,61.5,15.0,23.5,Kurzfristige Tendenz,61.5,20.0,18.5,Mittelfristige Tendenz,63.1,-0.11,6.85,38.1,43.1
Continental,2025-12-12,61.2,15.0,23.8,Kurzfristige Tendenz,61.2,20.0,18.8,Mittelfristige Tendenz,62.5,2.63,5.71,37.5,42.5
Siemens,2025-12-12,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.5,2.56,7.78,35.5,40.5
Beiersdorf,2025-12-12,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.3,6.54,3.92,34.3,39.3
Brenntag,2025-12-12,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.3,1.49,2.74,34.3,39.3
Hannover Rück,2025-12-12,59.7,15.0,25.3,Kurzfristige Tendenz,59.7,20.0,20.3,Mittelfristige Tendenz,59.3,3.75,2.04,34.3,39.3
Siemens Healthineers,2025-12-12,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.5,0.87,4.05,33.5,38.5
BASF,2025-12-12,58.9,15.0,26.1,Kurzfristige Tendenz,58.9,20.0,21.1,Mittelfristige Tendenz,57.7,3.39,1.02,32.7,37.7
Merck,2025-12-12,58.6,15.0,26.4,Kurzfristige Tendenz,58.6,20.0,21.4,Mittelfristige Tendenz,57.2,-0.38,5.19,32.2,37.2
Rheinmetall,2025-12-12,56.9,15.0,28.1,Kurzfristige Tendenz,56.9,20.0,23.1,Mittelfristige Tendenz,53.9,6.47,12.86,28.9,33.9
BMW,2025-12-12,55.7,15.0,29.3,Kurzfristige Tendenz,65.7,20.0,14.3,Mittelfristige Tendenz,71.3,-1.28,10.18,26.3,51.3
SAP,2025-12-12,54.9,15.0,30.1,Kurzfristige Tendenz,54.9,20.0,25.1,Mittelfristige Tendenz,49.8,0.33,1.59,24.8,29.8
Vonovia,2025-12-12,30.2,15.0,54.8,Kurzfristige Tendenz,30.2,20.0,49.8,Mittelfristige Tendenz,20.5,-5.34,-7.74,24.5,19.5
MTU Aero Engines,2025-12-12,54.7,15.0,30.3,Kurzfristige Tendenz,54.7,20.0,25.3,Mittelfristige Tendenz,49.3,-0.48,1.55,24.3,29.3
Henkel,2025-12-12,54.4,15.0,30.6,Kurzfristige Tendenz,54.4,20.0,25.6,Mittelfristige Tendenz,48.8,1.86,0.81,23.8,28.8
Fresenius Medical Care,2025-12-12,50.3,15.0,34.7,Kurzfristige Tendenz,40.3,20.0,39.7,Mittelfristige Tendenz,40.7,1.06,-3.65,15.7,0.7
Symrise,2025-12-12,35.1,15.0,49.9,Kurzfristige Tendenz,35.1,20.0,44.9,Mittelfristige Tendenz,30.3,-0.27,-5.13,14.7,9.7
Airbus,2025-12-12,49.6,15.0,35.4,Kurzfristige Tendenz,39.6,20.0,40.4,Mittelfristige Tendenz,39.3,-1.17,-2.15,14.3,0.7
Infineon,2025-12-12,49.3,15.0,35.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.7,-1.49,12.73,13.7,38.7
RWE,2025-12-12,39.4,15.0,45.6,Kurzfristige Tendenz,39.4,20.0,40.6,Mittelfristige Tendenz,38.7,-0.23,-1.61,6.3,1.3
Qiagen,2025-12-12,39.4,15.0,45.6,Kurzfristige Tendenz,39.4,20.0,40.6,Mittelfristige Tendenz,38.8,-2.97,-5.96,6.2,1.2
E.ON,2025-12-12,39.6,15.0,45.4,Kurzfristige Tendenz,39.6,20.0,40.4,Mittelfristige Tendenz,39.3,-3.13,-1.83,5.7,0.7
Zalando,2025-12-12,45.3,15.0,39.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.5,-1.98,5.2,5.5,30.5
Deutsche Telekom,2025-12-12,39.8,15.0,45.2,Kurzfristige Tendenz,39.8,20.0,40.2,Mittelfristige Tendenz,39.6,-2.54,-1.25,5.4,0.4
Deutsche Börse,2025-12-12,43.0,15.0,42.0,Kurzfristige Tendenz,43.0,20.0,37.0,Mittelfristige Tendenz,46.1,-3.28,-0.46,1.1,6.1
Fresenius,2025-12-12,42.9,15.0,42.1,Kurzfristige Tendenz,52.9,20.0,27.1,Mittelfristige Tendenz,45.8,-0.17,0.78,0.8,25.8
Deutsche Post,2025-12-12,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-12-12,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-12-12,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
