Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-04,71.6,15.0,13.4,Kurzfristige Tendenz,71.6,20.0,8.4,Mittelfristige Tendenz,83.1,7.14,7.93,58.1,63.1
Bayer,2025-12-04,70.9,15.0,14.1,Kurzfristige Tendenz,70.9,20.0,9.1,Mittelfristige Tendenz,81.8,11.99,20.19,56.8,61.8
Porsche,2025-12-04,69.3,15.0,15.7,Kurzfristige Tendenz,69.3,20.0,10.7,Mittelfristige Tendenz,78.6,4.82,4.01,53.6,58.6
BMW,2025-12-04,66.5,15.0,18.5,Kurzfristige Tendenz,66.5,20.0,13.5,Mittelfristige Tendenz,73.1,3.38,2.57,48.1,53.1
Merck,2025-12-04,65.6,15.0,19.4,Kurzfristige Tendenz,65.6,20.0,14.4,Mittelfristige Tendenz,71.3,3.23,1.87,46.3,51.3
Infineon,2025-12-04,63.0,15.0,22.0,Kurzfristige Tendenz,63.0,20.0,17.0,Mittelfristige Tendenz,66.1,2.84,5.85,41.1,46.1
Zalando,2025-12-04,61.0,15.0,24.0,Kurzfristige Tendenz,61.0,20.0,19.0,Mittelfristige Tendenz,62.0,2.97,4.14,37.0,42.0
Mercedes-Benz,2025-12-04,60.2,15.0,24.8,Kurzfristige Tendenz,60.2,20.0,19.8,Mittelfristige Tendenz,60.5,2.27,-0.13,35.5,40.5
Siemens Energy,2025-12-04,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.2,1.39,5.79,35.2,40.2
Heidelberg Materials,2025-12-04,59.7,15.0,25.3,Kurzfristige Tendenz,59.7,20.0,20.3,Mittelfristige Tendenz,59.4,-1.27,4.45,34.4,39.4
Continental,2025-12-04,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.1,2.63,3.69,34.1,39.1
Adidas,2025-12-04,58.8,15.0,26.2,Kurzfristige Tendenz,58.8,20.0,21.2,Mittelfristige Tendenz,57.6,0.19,-0.59,32.6,37.6
Commerzbank,2025-12-04,58.7,15.0,26.3,Kurzfristige Tendenz,58.7,20.0,21.3,Mittelfristige Tendenz,57.4,0.83,1.85,32.4,37.4
Daimler Truck,2025-12-04,57.7,15.0,27.3,Kurzfristige Tendenz,57.7,20.0,22.3,Mittelfristige Tendenz,55.3,-1.18,2.44,30.3,35.3
E.ON,2025-12-04,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.3,2.38,3.05,29.3,34.3
Fresenius,2025-12-04,55.3,15.0,29.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.6,1.04,-1.85,25.6,30.6
Siemens,2025-12-04,54.9,15.0,30.1,Kurzfristige Tendenz,54.9,20.0,25.1,Mittelfristige Tendenz,49.8,1.47,0.56,24.8,29.8
Siemens Healthineers,2025-12-04,34.7,15.0,50.3,Kurzfristige Tendenz,34.7,20.0,45.3,Mittelfristige Tendenz,29.4,-1.73,-4.03,15.6,10.6
SAP,2025-12-04,50.0,15.0,35.0,Kurzfristige Tendenz,40.0,20.0,40.0,Mittelfristige Tendenz,40.1,0.1,-1.11,15.1,0.1
MTU Aero Engines,2025-12-04,35.1,15.0,49.9,Kurzfristige Tendenz,35.1,20.0,44.9,Mittelfristige Tendenz,30.2,-2.55,-4.37,14.8,9.8
Rheinmetall,2025-12-04,49.5,15.0,35.5,Kurzfristige Tendenz,39.5,20.0,40.5,Mittelfristige Tendenz,39.0,2.47,-12.16,14.0,1.0
Airbus,2025-12-04,48.8,15.0,36.2,Kurzfristige Tendenz,38.8,20.0,41.2,Mittelfristige Tendenz,37.7,-3.76,-4.64,12.7,2.3
Deutsche Börse,2025-12-04,48.7,15.0,36.3,Kurzfristige Tendenz,58.7,20.0,21.3,Mittelfristige Tendenz,57.5,-3.12,8.35,12.5,37.5
Symrise,2025-12-04,37.0,15.0,48.0,Kurzfristige Tendenz,37.0,20.0,43.0,Mittelfristige Tendenz,34.1,-4.65,-5.52,10.9,5.9
Allianz,2025-12-04,47.4,15.0,37.6,Kurzfristige Tendenz,57.4,20.0,22.6,Mittelfristige Tendenz,54.7,-1.75,-0.49,9.7,34.7
Brenntag,2025-12-04,47.3,15.0,37.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.5,-1.21,-0.65,9.5,34.5
Qiagen,2025-12-04,46.1,15.0,38.9,Kurzfristige Tendenz,56.1,20.0,23.9,Mittelfristige Tendenz,52.2,-2.61,4.94,7.2,32.2
Henkel,2025-12-04,39.7,15.0,45.3,Kurzfristige Tendenz,39.7,20.0,40.3,Mittelfristige Tendenz,39.5,-0.83,-3.14,5.5,0.5
Deutsche Telekom,2025-12-04,44.4,15.0,40.6,Kurzfristige Tendenz,44.4,20.0,35.6,Mittelfristige Tendenz,48.9,-2.31,-0.44,3.9,8.9
Münchener Rück,2025-12-04,40.6,15.0,44.4,Kurzfristige Tendenz,40.6,20.0,39.4,Mittelfristige Tendenz,41.2,-2.02,-2.52,3.8,1.2
