Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Deutsche Börse,2025-11-29,64.6,15.0,20.4,Kurzfristige Tendenz,64.6,20.0,15.4,Mittelfristige Tendenz,69.3,6.71,10.55,44.3,49.3
Allianz,2025-11-29,64.2,15.0,20.8,Kurzfristige Tendenz,64.2,20.0,15.8,Mittelfristige Tendenz,68.5,2.59,4.34,43.5,48.5
Volkswagen,2025-11-29,63.1,15.0,21.9,Kurzfristige Tendenz,63.1,20.0,16.9,Mittelfristige Tendenz,66.3,2.95,2.8,41.3,46.3
BASF,2025-11-29,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.6,1.29,4.37,39.6,44.6
Heidelberg Materials,2025-11-29,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.6,6.5,9.94,39.6,44.6
Hannover Rück,2025-11-29,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,64.1,1.73,3.84,39.1,44.1
Porsche,2025-11-29,61.8,15.0,23.2,Kurzfristige Tendenz,61.8,20.0,18.2,Mittelfristige Tendenz,63.6,2.8,3.74,38.6,43.6
Infineon,2025-11-29,61.7,15.0,23.3,Kurzfristige Tendenz,61.7,20.0,18.3,Mittelfristige Tendenz,63.3,10.54,8.95,38.3,43.3
BMW,2025-11-29,61.5,15.0,23.5,Kurzfristige Tendenz,61.5,20.0,18.5,Mittelfristige Tendenz,63.0,1.15,1.29,38.0,43.0
Siemens Energy,2025-11-29,61.0,15.0,24.0,Kurzfristige Tendenz,61.0,20.0,19.0,Mittelfristige Tendenz,62.1,14.38,8.26,37.1,42.1
Commerzbank,2025-11-29,60.5,15.0,24.5,Kurzfristige Tendenz,60.5,20.0,19.5,Mittelfristige Tendenz,61.0,5.94,-0.09,36.0,41.0
Merck,2025-11-29,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.3,2.84,5.74,34.3,39.3
Brenntag,2025-11-29,59.4,15.0,25.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.8,1.04,6.46,33.8,38.8
Mercedes-Benz,2025-11-29,58.6,15.0,26.4,Kurzfristige Tendenz,58.6,20.0,21.4,Mittelfristige Tendenz,57.1,1.17,-0.5,32.1,37.1
Beiersdorf,2025-11-29,58.3,15.0,26.7,Kurzfristige Tendenz,58.3,20.0,21.7,Mittelfristige Tendenz,56.6,2.61,-0.66,31.6,36.6
Münchener Rück,2025-11-29,57.3,15.0,27.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.5,2.29,-0.07,29.5,34.5
Deutsche Telekom,2025-11-29,56.8,15.0,28.2,Kurzfristige Tendenz,56.8,20.0,23.2,Mittelfristige Tendenz,53.6,2.06,4.01,28.6,33.6
Deutsche Bank,2025-11-29,55.4,15.0,29.6,Kurzfristige Tendenz,45.4,20.0,34.6,Mittelfristige Tendenz,50.7,3.66,-2.27,25.7,10.7
Continental,2025-11-29,55.3,15.0,29.7,Kurzfristige Tendenz,45.3,20.0,34.7,Mittelfristige Tendenz,50.6,2.87,-3.76,25.6,10.6
Vonovia,2025-11-29,54.5,15.0,30.5,Kurzfristige Tendenz,54.5,20.0,25.5,Mittelfristige Tendenz,49.0,0.04,4.06,24.0,29.0
Bayer,2025-11-29,54.0,15.0,31.0,Kurzfristige Tendenz,64.0,20.0,16.0,Mittelfristige Tendenz,68.0,-0.36,15.04,23.0,48.0
Zalando,2025-11-29,53.7,15.0,31.3,Kurzfristige Tendenz,53.7,20.0,26.3,Mittelfristige Tendenz,47.4,4.93,2.75,22.4,27.4
Symrise,2025-11-29,52.7,15.0,32.3,Kurzfristige Tendenz,52.7,20.0,27.3,Mittelfristige Tendenz,45.5,1.71,-0.08,20.5,25.5
Adidas,2025-11-29,52.4,15.0,32.6,Kurzfristige Tendenz,52.4,20.0,27.6,Mittelfristige Tendenz,44.7,5.28,1.71,19.7,24.7
Airbus,2025-11-29,52.3,15.0,32.7,Kurzfristige Tendenz,42.3,20.0,37.7,Mittelfristige Tendenz,44.6,2.3,-1.87,19.6,4.6
Siemens,2025-11-29,51.2,15.0,33.8,Kurzfristige Tendenz,41.2,20.0,38.8,Mittelfristige Tendenz,42.5,2.38,-7.08,17.5,2.5
Qiagen,2025-11-29,50.3,15.0,34.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.6,0.17,10.09,15.6,40.6
Daimler Truck,2025-11-29,49.5,15.0,35.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.1,1.08,2.62,14.1,39.1
Siemens Healthineers,2025-11-29,47.9,15.0,37.1,Kurzfristige Tendenz,37.9,20.0,42.1,Mittelfristige Tendenz,35.8,1.56,-1.2,10.8,4.2
SAP,2025-11-29,47.6,15.0,37.4,Kurzfristige Tendenz,37.6,20.0,42.4,Mittelfristige Tendenz,35.2,0.51,-3.56,10.2,4.8
E.ON,2025-11-29,38.7,15.0,46.3,Kurzfristige Tendenz,38.7,20.0,41.3,Mittelfristige Tendenz,37.4,0.29,-4.09,7.6,2.6
Fresenius,2025-11-29,39.3,15.0,45.7,Kurzfristige Tendenz,39.3,20.0,40.7,Mittelfristige Tendenz,38.5,0.28,-1.21,6.5,1.5
RWE,2025-11-29,45.6,15.0,39.4,Kurzfristige Tendenz,45.6,20.0,34.4,Mittelfristige Tendenz,51.3,-0.77,0.62,6.3,11.3
MTU Aero Engines,2025-11-29,45.6,15.0,39.4,Kurzfristige Tendenz,35.6,20.0,44.4,Mittelfristige Tendenz,31.2,1.24,-4.53,6.2,8.8
Rheinmetall,2025-11-29,45.6,15.0,39.4,Kurzfristige Tendenz,35.6,20.0,44.4,Mittelfristige Tendenz,31.2,2.6,-17.15,6.2,8.8
Fresenius Medical Care,2025-11-29,39.6,15.0,45.4,Kurzfristige Tendenz,49.6,20.0,30.4,Mittelfristige Tendenz,39.2,-0.36,-1.88,5.8,19.2
Henkel,2025-11-29,40.8,15.0,44.2,Kurzfristige Tendenz,40.8,20.0,39.2,Mittelfristige Tendenz,41.6,0.14,-4.45,3.4,1.6
Deutsche Post,2025-11-29,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-11-29,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-11-29,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
