Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Siemens Healthineers,2025-12-19,72.3,15.0,12.7,Kurzfristige Tendenz,72.3,20.0,7.7,Mittelfristige Tendenz,84.6,1.27,4.7,59.6,64.6
Zalando,2025-12-19,71.7,15.0,13.3,Kurzfristige Tendenz,71.7,20.0,8.3,Mittelfristige Tendenz,83.4,11.52,9.3,58.4,63.4
Allianz,2025-12-19,67.1,15.0,17.9,Kurzfristige Tendenz,67.1,20.0,12.9,Mittelfristige Tendenz,74.2,1.68,4.63,49.2,54.2
Commerzbank,2025-12-19,66.1,15.0,18.9,Kurzfristige Tendenz,66.1,20.0,13.9,Mittelfristige Tendenz,72.3,3.28,3.91,47.3,52.3
Bayer,2025-12-19,65.6,15.0,19.4,Kurzfristige Tendenz,65.6,20.0,14.4,Mittelfristige Tendenz,71.2,-1.46,16.43,46.2,51.2
Continental,2025-12-19,65.5,15.0,19.5,Kurzfristige Tendenz,65.5,20.0,14.5,Mittelfristige Tendenz,71.0,0.27,2.3,46.0,51.0
Beiersdorf,2025-12-19,64.3,15.0,20.7,Kurzfristige Tendenz,64.3,20.0,15.7,Mittelfristige Tendenz,68.5,1.22,3.16,43.5,48.5
Deutsche Bank,2025-12-19,64.2,15.0,20.8,Kurzfristige Tendenz,64.2,20.0,15.8,Mittelfristige Tendenz,68.5,1.9,7.26,43.5,48.5
Merck,2025-12-19,63.5,15.0,21.5,Kurzfristige Tendenz,63.5,20.0,16.5,Mittelfristige Tendenz,67.0,0.04,2.14,42.0,47.0
Hannover Rück,2025-12-19,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.7,0.54,1.79,41.7,46.7
Siemens Energy,2025-12-19,61.6,15.0,23.4,Kurzfristige Tendenz,61.6,20.0,18.4,Mittelfristige Tendenz,63.2,2.07,7.24,38.2,43.2
Henkel,2025-12-19,61.6,15.0,23.4,Kurzfristige Tendenz,61.6,20.0,18.4,Mittelfristige Tendenz,63.2,0.46,0.98,38.2,43.2
E.ON,2025-12-19,60.6,15.0,24.4,Kurzfristige Tendenz,60.6,20.0,19.4,Mittelfristige Tendenz,61.2,3.48,3.78,36.2,41.2
Fresenius,2025-12-19,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,58.9,0.69,3.28,33.9,38.9
MTU Aero Engines,2025-12-19,59.1,15.0,25.9,Kurzfristige Tendenz,59.1,20.0,20.9,Mittelfristige Tendenz,58.1,0.54,3.65,33.1,38.1
Deutsche Börse,2025-12-19,58.4,15.0,26.6,Kurzfristige Tendenz,58.4,20.0,21.6,Mittelfristige Tendenz,56.9,2.7,-1.43,31.9,36.9
RWE,2025-12-19,58.1,15.0,26.9,Kurzfristige Tendenz,58.1,20.0,21.9,Mittelfristige Tendenz,56.2,1.9,1.43,31.2,36.2
Deutsche Telekom,2025-12-19,57.8,15.0,27.2,Kurzfristige Tendenz,57.8,20.0,22.2,Mittelfristige Tendenz,55.6,1.98,-1.01,30.6,35.6
SAP,2025-12-19,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.3,0.34,,29.3,34.3
Fresenius Medical Care,2025-12-19,56.5,15.0,28.5,Kurzfristige Tendenz,46.5,20.0,33.5,Mittelfristige Tendenz,53.0,0.75,-1.08,28.0,13.0
Porsche,2025-12-19,55.2,15.0,29.8,Kurzfristige Tendenz,65.2,20.0,14.8,Mittelfristige Tendenz,70.3,-1.59,7.8,25.3,50.3
Symrise,2025-12-19,54.2,15.0,30.8,Kurzfristige Tendenz,44.2,20.0,35.8,Mittelfristige Tendenz,48.4,1.97,-4.18,23.4,8.4
Adidas,2025-12-19,52.7,15.0,32.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.5,-0.87,3.04,20.5,45.5
Siemens,2025-12-19,52.4,15.0,32.6,Kurzfristige Tendenz,62.4,20.0,17.6,Mittelfristige Tendenz,64.7,-1.47,4.05,19.7,44.7
Münchener Rück,2025-12-19,51.1,15.0,33.9,Kurzfristige Tendenz,61.1,20.0,18.9,Mittelfristige Tendenz,62.3,-1.08,2.18,17.3,42.3
Airbus,2025-12-19,51.0,15.0,34.0,Kurzfristige Tendenz,41.0,20.0,39.0,Mittelfristige Tendenz,42.1,0.36,1.07,17.1,2.1
BMW,2025-12-19,49.9,15.0,35.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.8,-2.85,4.5,14.8,39.8
Qiagen,2025-12-19,49.7,15.0,35.3,Kurzfristige Tendenz,39.7,20.0,40.3,Mittelfristige Tendenz,39.4,,-6.47,14.4,0.6
Volkswagen,2025-12-19,49.2,15.0,35.8,Kurzfristige Tendenz,59.2,20.0,20.8,Mittelfristige Tendenz,58.4,-4.05,4.68,13.4,38.4
Heidelberg Materials,2025-12-19,48.9,15.0,36.1,Kurzfristige Tendenz,58.9,20.0,21.1,Mittelfristige Tendenz,57.7,-0.45,1.42,12.7,37.7
Daimler Truck,2025-12-19,48.6,15.0,36.4,Kurzfristige Tendenz,58.6,20.0,21.4,Mittelfristige Tendenz,57.3,-2.24,4.5,12.3,37.3
Mercedes-Benz,2025-12-19,45.9,15.0,39.1,Kurzfristige Tendenz,45.9,20.0,34.1,Mittelfristige Tendenz,51.8,-3.23,1.07,6.8,11.8
Infineon,2025-12-19,45.6,15.0,39.4,Kurzfristige Tendenz,45.6,20.0,34.4,Mittelfristige Tendenz,51.1,-2.29,0.17,6.1,11.1
