Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Continental,2025-11-03,68.1,15.0,16.9,Kurzfristige Tendenz,68.1,20.0,11.9,Mittelfristige Tendenz,76.3,1.04,21.64,51.3,56.3
Airbus,2025-11-03,65.7,15.0,19.3,Kurzfristige Tendenz,65.7,20.0,14.3,Mittelfristige Tendenz,71.3,2.82,4.99,46.3,51.3
RWE,2025-11-03,65.4,15.0,19.6,Kurzfristige Tendenz,65.4,20.0,14.6,Mittelfristige Tendenz,70.9,3.55,4.85,45.9,50.9
Mercedes-Benz,2025-11-03,62.8,15.0,22.2,Kurzfristige Tendenz,62.8,20.0,17.2,Mittelfristige Tendenz,65.6,3.9,8.59,40.6,45.6
Deutsche Bank,2025-11-03,61.1,15.0,23.9,Kurzfristige Tendenz,61.1,20.0,18.9,Mittelfristige Tendenz,62.2,4.75,1.89,37.2,42.2
Siemens Energy,2025-11-03,60.4,15.0,24.6,Kurzfristige Tendenz,60.4,20.0,19.6,Mittelfristige Tendenz,60.8,5.36,3.18,35.8,40.8
Commerzbank,2025-11-03,59.7,15.0,25.3,Kurzfristige Tendenz,59.7,20.0,20.3,Mittelfristige Tendenz,59.4,4.14,1.64,34.4,39.4
Zalando,2025-11-03,28.5,15.0,56.5,Kurzfristige Tendenz,28.5,20.0,51.5,Mittelfristige Tendenz,16.9,-6.77,-10.51,28.1,23.1
Heidelberg Materials,2025-11-03,54.5,15.0,30.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,0.25,2.37,24.0,49.0
Adidas,2025-11-03,30.5,15.0,54.5,Kurzfristige Tendenz,30.5,20.0,49.5,Mittelfristige Tendenz,21.1,-11.88,-13.1,23.9,18.9
Deutsche Telekom,2025-11-03,31.2,15.0,53.8,Kurzfristige Tendenz,31.2,20.0,48.8,Mittelfristige Tendenz,22.3,-6.51,-7.91,22.7,17.7
MTU Aero Engines,2025-11-03,52.9,15.0,32.1,Kurzfristige Tendenz,42.9,20.0,37.1,Mittelfristige Tendenz,45.7,,-1.56,20.7,5.7
Fresenius,2025-11-03,52.5,15.0,32.5,Kurzfristige Tendenz,62.5,20.0,17.5,Mittelfristige Tendenz,65.0,0.18,2.57,20.0,45.0
