Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Daimler Truck,2025-11-19,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.1,-0.06,3.34,35.1,40.1
Fresenius Medical Care,2025-11-19,28.0,15.0,57.0,Kurzfristige Tendenz,28.0,20.0,52.0,Mittelfristige Tendenz,15.9,-3.63,-15.23,29.1,24.1
Adidas,2025-11-19,30.4,15.0,54.6,Kurzfristige Tendenz,30.4,20.0,49.6,Mittelfristige Tendenz,20.8,-6.98,-8.45,24.2,19.2
Siemens Healthineers,2025-11-19,30.9,15.0,54.1,Kurzfristige Tendenz,30.9,20.0,49.1,Mittelfristige Tendenz,21.8,-7.25,-14.68,23.2,18.2
Beiersdorf,2025-11-19,31.1,15.0,53.9,Kurzfristige Tendenz,31.1,20.0,48.9,Mittelfristige Tendenz,22.3,-4.81,-3.09,22.7,17.7
SAP,2025-11-19,31.5,15.0,53.5,Kurzfristige Tendenz,31.5,20.0,48.5,Mittelfristige Tendenz,23.0,-5.68,-8.79,22.0,17.0
Siemens,2025-11-19,32.9,15.0,52.1,Kurzfristige Tendenz,32.9,20.0,47.1,Mittelfristige Tendenz,25.7,-4.3,-12.04,19.3,14.3
Symrise,2025-11-19,32.9,15.0,52.1,Kurzfristige Tendenz,32.9,20.0,47.1,Mittelfristige Tendenz,25.8,-4.82,-4.71,19.2,14.2
E.ON,2025-11-19,33.3,15.0,51.7,Kurzfristige Tendenz,33.3,20.0,46.7,Mittelfristige Tendenz,26.7,-1.26,-6.46,18.3,13.3
MTU Aero Engines,2025-11-19,33.9,15.0,51.1,Kurzfristige Tendenz,33.9,20.0,46.1,Mittelfristige Tendenz,27.9,-3.78,-7.41,17.1,12.1
RWE,2025-11-19,49.5,15.0,35.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.0,-5.14,3.23,14.0,39.0
Qiagen,2025-11-19,49.3,15.0,35.7,Kurzfristige Tendenz,39.3,20.0,40.7,Mittelfristige Tendenz,38.5,-0.71,-4.89,13.5,1.5
Siemens Energy,2025-11-19,48.7,15.0,36.3,Kurzfristige Tendenz,58.7,20.0,21.3,Mittelfristige Tendenz,57.4,2.14,3.35,12.4,37.4
Henkel,2025-11-19,36.6,15.0,48.4,Kurzfristige Tendenz,36.6,20.0,43.4,Mittelfristige Tendenz,33.2,-4.65,-2.06,11.8,6.8
Continental,2025-11-19,36.8,15.0,48.2,Kurzfristige Tendenz,36.8,20.0,43.2,Mittelfristige Tendenz,33.6,-4.33,-5.53,11.4,6.4
Zalando,2025-11-19,36.9,15.0,48.1,Kurzfristige Tendenz,36.9,20.0,43.1,Mittelfristige Tendenz,33.7,-4.33,-8.53,11.3,6.3
Porsche,2025-11-19,48.1,15.0,36.9,Kurzfristige Tendenz,58.1,20.0,21.9,Mittelfristige Tendenz,56.2,-3.06,4.21,11.2,36.2
