Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Continental,2025-11-09,69.2,15.0,15.8,Kurzfristige Tendenz,69.2,20.0,10.8,Mittelfristige Tendenz,78.5,0.54,7.74,53.5,58.5
RWE,2025-11-09,65.2,15.0,19.8,Kurzfristige Tendenz,65.2,20.0,14.8,Mittelfristige Tendenz,70.4,0.54,5.15,45.4,50.4
Mercedes-Benz,2025-11-09,63.8,15.0,21.2,Kurzfristige Tendenz,63.8,20.0,16.2,Mittelfristige Tendenz,67.7,1.54,8.1,42.7,47.7
Henkel,2025-11-09,59.7,15.0,25.3,Kurzfristige Tendenz,59.7,20.0,20.3,Mittelfristige Tendenz,59.5,2.23,-0.22,34.5,39.5
Deutsche Telekom,2025-11-09,26.7,15.0,58.3,Kurzfristige Tendenz,26.7,20.0,53.3,Mittelfristige Tendenz,13.4,-1.13,-12.2,31.6,26.6
BMW,2025-11-09,58.1,15.0,26.9,Kurzfristige Tendenz,58.1,20.0,21.9,Mittelfristige Tendenz,56.2,3.38,3.87,31.2,36.2
Daimler Truck,2025-11-09,58.1,15.0,26.9,Kurzfristige Tendenz,58.1,20.0,21.9,Mittelfristige Tendenz,56.2,1.9,1.61,31.2,36.2
Volkswagen,2025-11-09,58.1,15.0,26.9,Kurzfristige Tendenz,58.1,20.0,21.9,Mittelfristige Tendenz,56.2,0.56,1.31,31.2,36.2
Beiersdorf,2025-11-09,56.7,15.0,28.3,Kurzfristige Tendenz,46.7,20.0,33.3,Mittelfristige Tendenz,53.3,1.95,-2.97,28.3,13.3
E.ON,2025-11-09,55.2,15.0,29.8,Kurzfristige Tendenz,45.2,20.0,34.8,Mittelfristige Tendenz,50.4,1.67,-1.46,25.4,10.4
Adidas,2025-11-09,31.0,15.0,54.0,Kurzfristige Tendenz,31.0,20.0,49.0,Mittelfristige Tendenz,22.0,-1.73,-18.24,23.0,18.0
BASF,2025-11-09,53.7,15.0,31.3,Kurzfristige Tendenz,43.7,20.0,36.3,Mittelfristige Tendenz,47.3,-0.07,-2.01,22.3,7.3
Deutsche Börse,2025-11-09,31.6,15.0,53.4,Kurzfristige Tendenz,31.6,20.0,48.4,Mittelfristige Tendenz,23.2,-3.88,-5.81,21.8,16.8
Qiagen,2025-11-09,32.0,15.0,53.0,Kurzfristige Tendenz,32.0,20.0,48.0,Mittelfristige Tendenz,23.9,-5.35,-10.76,21.1,16.1
Siemens Healthineers,2025-11-09,32.7,15.0,52.3,Kurzfristige Tendenz,32.7,20.0,47.3,Mittelfristige Tendenz,25.3,-9.28,-8.43,19.7,14.7
Vonovia,2025-11-09,32.8,15.0,52.2,Kurzfristige Tendenz,32.8,20.0,47.2,Mittelfristige Tendenz,25.6,-0.08,-7.81,19.4,14.4
Deutsche Bank,2025-11-09,52.0,15.0,33.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,64.1,-0.29,7.93,19.1,44.1
