Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Porsche,2025-12-10,73.4,15.0,11.6,Kurzfristige Tendenz,73.4,20.0,6.6,Mittelfristige Tendenz,86.7,3.69,16.69,61.7,66.7
Volkswagen,2025-12-10,72.1,15.0,12.9,Kurzfristige Tendenz,72.1,20.0,7.9,Mittelfristige Tendenz,84.3,1.52,14.17,59.3,64.3
BMW,2025-12-10,70.6,15.0,14.4,Kurzfristige Tendenz,70.6,20.0,9.4,Mittelfristige Tendenz,81.3,4.25,15.07,56.3,61.3
Bayer,2025-12-10,70.7,15.0,14.3,Kurzfristige Tendenz,70.7,20.0,9.3,Mittelfristige Tendenz,81.3,7.95,34.32,56.3,61.3
Allianz,2025-12-10,64.7,15.0,20.3,Kurzfristige Tendenz,64.7,20.0,15.3,Mittelfristige Tendenz,69.4,3.44,4.6,44.4,49.4
Siemens Energy,2025-12-10,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.1,5.25,9.95,44.1,49.1
Infineon,2025-12-10,63.0,15.0,22.0,Kurzfristige Tendenz,63.0,20.0,17.0,Mittelfristige Tendenz,66.1,2.45,13.63,41.1,46.1
Mercedes-Benz,2025-12-10,61.9,15.0,23.1,Kurzfristige Tendenz,61.9,20.0,18.1,Mittelfristige Tendenz,63.7,1.27,8.09,38.7,43.7
Deutsche Bank,2025-12-10,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.6,3.31,7.31,35.6,40.6
Commerzbank,2025-12-10,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.2,1.64,8.58,34.2,39.2
Deutsche Börse,2025-12-10,59.2,15.0,25.8,Kurzfristige Tendenz,59.2,20.0,20.8,Mittelfristige Tendenz,58.5,0.91,6.77,33.5,38.5
Siemens Healthineers,2025-12-10,58.7,15.0,26.3,Kurzfristige Tendenz,58.7,20.0,21.3,Mittelfristige Tendenz,57.5,2.04,5.4,32.5,37.5
Siemens,2025-12-10,56.1,15.0,28.9,Kurzfristige Tendenz,56.1,20.0,23.9,Mittelfristige Tendenz,52.3,1.5,5.68,27.3,32.3
E.ON,2025-12-10,55.5,15.0,29.5,Kurzfristige Tendenz,55.5,20.0,24.5,Mittelfristige Tendenz,51.0,0.13,0.91,26.0,31.0
Beiersdorf,2025-12-10,55.3,15.0,29.7,Kurzfristige Tendenz,55.3,20.0,24.7,Mittelfristige Tendenz,50.5,0.82,4.24,25.5,30.5
Rheinmetall,2025-12-10,54.8,15.0,30.2,Kurzfristige Tendenz,54.8,20.0,25.2,Mittelfristige Tendenz,49.7,4.06,-2.11,24.7,29.7
MTU Aero Engines,2025-12-10,54.1,15.0,30.9,Kurzfristige Tendenz,54.1,20.0,25.9,Mittelfristige Tendenz,48.1,1.67,0.34,23.1,28.1
Vonovia,2025-12-10,31.1,15.0,53.9,Kurzfristige Tendenz,31.1,20.0,48.9,Mittelfristige Tendenz,22.2,-5.77,-7.26,22.8,17.8
RWE,2025-12-10,53.5,15.0,31.5,Kurzfristige Tendenz,43.5,20.0,36.5,Mittelfristige Tendenz,47.1,-0.21,-3.55,22.1,7.1
BASF,2025-12-10,53.2,15.0,31.8,Kurzfristige Tendenz,43.2,20.0,36.8,Mittelfristige Tendenz,46.4,1.17,1.17,21.4,6.4
Münchener Rück,2025-12-10,52.7,15.0,32.3,Kurzfristige Tendenz,42.7,20.0,37.3,Mittelfristige Tendenz,45.4,0.19,0.87,20.4,5.4
Merck,2025-12-10,51.0,15.0,34.0,Kurzfristige Tendenz,61.0,20.0,19.0,Mittelfristige Tendenz,62.1,-1.05,6.83,17.1,42.1
Fresenius Medical Care,2025-12-10,35.7,15.0,49.3,Kurzfristige Tendenz,35.7,20.0,44.3,Mittelfristige Tendenz,31.3,-1.85,-0.66,13.7,8.7
Heidelberg Materials,2025-12-10,48.2,15.0,36.8,Kurzfristige Tendenz,58.2,20.0,21.8,Mittelfristige Tendenz,56.3,-0.28,1.93,11.3,36.3
Henkel,2025-12-10,47.3,15.0,37.7,Kurzfristige Tendenz,37.3,20.0,42.7,Mittelfristige Tendenz,34.6,0.06,-0.43,9.6,5.4
Daimler Truck,2025-12-10,47.2,15.0,37.8,Kurzfristige Tendenz,57.2,20.0,22.8,Mittelfristige Tendenz,54.5,-2.42,4.7,9.5,34.5
Zalando,2025-12-10,46.7,15.0,38.3,Kurzfristige Tendenz,56.7,20.0,23.3,Mittelfristige Tendenz,53.5,-1.57,2.65,8.5,33.5
Symrise,2025-12-10,38.5,15.0,46.5,Kurzfristige Tendenz,38.5,20.0,41.5,Mittelfristige Tendenz,36.9,-1.37,-1.4,8.1,3.1
Airbus,2025-12-10,38.6,15.0,46.4,Kurzfristige Tendenz,38.6,20.0,41.4,Mittelfristige Tendenz,37.2,-1.06,-4.6,7.8,2.8
Qiagen,2025-12-10,45.1,15.0,39.9,Kurzfristige Tendenz,45.1,20.0,34.9,Mittelfristige Tendenz,50.2,-2.23,0.19,5.2,10.2
Deutsche Telekom,2025-12-10,40.4,15.0,44.6,Kurzfristige Tendenz,40.4,20.0,39.6,Mittelfristige Tendenz,40.8,-2.26,-1.14,4.2,0.8
Adidas,2025-12-10,44.6,15.0,40.4,Kurzfristige Tendenz,54.6,20.0,25.4,Mittelfristige Tendenz,49.1,-1.89,4.17,4.1,29.1
Fresenius,2025-12-10,43.9,15.0,41.1,Kurzfristige Tendenz,43.9,20.0,36.1,Mittelfristige Tendenz,47.8,-1.02,1.26,2.8,7.8
SAP,2025-12-10,43.3,15.0,41.7,Kurzfristige Tendenz,53.3,20.0,26.7,Mittelfristige Tendenz,46.6,-0.45,1.26,1.6,26.6
Brenntag,2025-12-10,41.7,15.0,43.3,Kurzfristige Tendenz,41.7,20.0,38.3,Mittelfristige Tendenz,43.5,-2.69,-0.29,1.5,3.5
Continental,2025-12-10,43.2,15.0,41.8,Kurzfristige Tendenz,53.2,20.0,26.8,Mittelfristige Tendenz,46.4,-1.32,4.27,1.4,26.4
Hannover Rück,2025-12-10,42.9,15.0,42.1,Kurzfristige Tendenz,42.9,20.0,37.1,Mittelfristige Tendenz,45.9,-0.86,-0.94,0.9,5.9
Deutsche Post,2025-12-10,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-12-10,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-12-10,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
