Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-11-12,69.1,15.0,15.9,Kurzfristige Tendenz,69.1,20.0,10.9,Mittelfristige Tendenz,78.2,6.77,10.9,53.2,58.2
Deutsche Bank,2025-11-12,68.5,15.0,16.5,Kurzfristige Tendenz,68.5,20.0,11.5,Mittelfristige Tendenz,77.0,5.43,14.75,52.0,57.0
BMW,2025-11-12,67.5,15.0,17.5,Kurzfristige Tendenz,67.5,20.0,12.5,Mittelfristige Tendenz,75.1,5.03,10.15,50.1,55.1
Mercedes-Benz,2025-11-12,67.6,15.0,17.4,Kurzfristige Tendenz,67.6,20.0,12.4,Mittelfristige Tendenz,75.1,1.89,11.45,50.1,55.1
Porsche,2025-11-12,67.4,15.0,17.6,Kurzfristige Tendenz,67.4,20.0,12.6,Mittelfristige Tendenz,74.8,6.28,7.61,49.8,54.8
Commerzbank,2025-11-12,67.1,15.0,17.9,Kurzfristige Tendenz,67.1,20.0,12.9,Mittelfristige Tendenz,74.2,7.53,15.3,49.2,54.2
RWE,2025-11-12,67.0,15.0,18.0,Kurzfristige Tendenz,67.0,20.0,13.0,Mittelfristige Tendenz,74.0,3.59,10.46,49.0,54.0
Daimler Truck,2025-11-12,63.4,15.0,21.6,Kurzfristige Tendenz,63.4,20.0,16.6,Mittelfristige Tendenz,66.8,1.75,2.62,41.8,46.8
Hannover Rück,2025-11-12,63.3,15.0,21.7,Kurzfristige Tendenz,63.3,20.0,16.7,Mittelfristige Tendenz,66.6,4.88,2.58,41.6,46.6
Heidelberg Materials,2025-11-12,62.3,15.0,22.7,Kurzfristige Tendenz,62.3,20.0,17.7,Mittelfristige Tendenz,64.6,5.72,7.86,39.6,44.6
Airbus,2025-11-12,61.9,15.0,23.1,Kurzfristige Tendenz,61.9,20.0,18.1,Mittelfristige Tendenz,63.8,1.92,2.58,38.8,43.8
Bayer,2025-11-12,61.4,15.0,23.6,Kurzfristige Tendenz,61.4,20.0,18.6,Mittelfristige Tendenz,62.8,5.7,1.6,37.8,42.8
Beiersdorf,2025-11-12,60.4,15.0,24.6,Kurzfristige Tendenz,60.4,20.0,19.6,Mittelfristige Tendenz,60.8,0.84,-2.43,35.8,40.8
Siemens,2025-11-12,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.1,3.15,3.98,34.1,39.1
Brenntag,2025-11-12,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.5,7.17,-1.63,33.5,38.5
Siemens Energy,2025-11-12,59.1,15.0,25.9,Kurzfristige Tendenz,59.1,20.0,20.9,Mittelfristige Tendenz,58.2,1.45,10.03,33.2,38.2
BASF,2025-11-12,58.7,15.0,26.3,Kurzfristige Tendenz,58.7,20.0,21.3,Mittelfristige Tendenz,57.3,1.79,-0.09,32.3,37.3
Infineon,2025-11-12,58.5,15.0,26.5,Kurzfristige Tendenz,58.5,20.0,21.5,Mittelfristige Tendenz,57.0,1.15,2.66,32.0,37.0
Allianz,2025-11-12,57.5,15.0,27.5,Kurzfristige Tendenz,57.5,20.0,22.5,Mittelfristige Tendenz,55.0,2.21,3.11,30.0,35.0
Münchener Rück,2025-11-12,57.3,15.0,27.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.6,2.56,1.1,29.6,34.6
Fresenius,2025-11-12,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.2,1.66,0.16,29.2,34.2
Rheinmetall,2025-11-12,54.5,15.0,30.5,Kurzfristige Tendenz,54.5,20.0,25.5,Mittelfristige Tendenz,49.0,3.04,-0.34,24.0,29.0
Merck,2025-11-12,54.4,15.0,30.6,Kurzfristige Tendenz,54.4,20.0,25.6,Mittelfristige Tendenz,48.9,2.77,-1.65,23.9,28.9
Fresenius Medical Care,2025-11-12,31.3,15.0,53.7,Kurzfristige Tendenz,31.3,20.0,48.7,Mittelfristige Tendenz,22.5,-1.19,-10.65,22.5,17.5
Zalando,2025-11-12,34.7,15.0,50.3,Kurzfristige Tendenz,34.7,20.0,45.3,Mittelfristige Tendenz,29.3,-5.76,-14.44,15.7,10.7
