Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Volkswagen,2025-12-01,63.6,15.0,21.4,Kurzfristige Tendenz,63.6,20.0,16.4,Mittelfristige Tendenz,67.1,1.36,0.9,42.1,47.1
Deutsche Telekom,2025-12-01,63.1,15.0,21.9,Kurzfristige Tendenz,63.1,20.0,16.9,Mittelfristige Tendenz,66.1,0.65,2.7,41.1,46.1
Merck,2025-12-01,62.8,15.0,22.2,Kurzfristige Tendenz,62.8,20.0,17.2,Mittelfristige Tendenz,65.6,1.56,4.04,40.6,45.6
Deutsche Börse,2025-12-01,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,63.9,2.62,7.59,38.9,43.9
Brenntag,2025-12-01,61.6,15.0,23.4,Kurzfristige Tendenz,61.6,20.0,18.4,Mittelfristige Tendenz,63.1,-0.06,5.44,38.1,43.1
Porsche,2025-12-01,61.5,15.0,23.5,Kurzfristige Tendenz,61.5,20.0,18.5,Mittelfristige Tendenz,63.1,0.9,1.48,38.1,43.1
Beiersdorf,2025-12-01,59.8,15.0,25.2,Kurzfristige Tendenz,59.8,20.0,20.2,Mittelfristige Tendenz,59.6,0.82,-1.02,34.6,39.6
Commerzbank,2025-12-01,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.1,4.15,1.1,34.1,39.1
Siemens Energy,2025-12-01,59.5,15.0,25.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.0,6.74,6.09,34.0,39.0
Infineon,2025-12-01,59.4,15.0,25.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.8,6.6,5.56,33.8,38.8
Adidas,2025-12-01,58.0,15.0,27.0,Kurzfristige Tendenz,58.0,20.0,22.0,Mittelfristige Tendenz,55.9,4.35,-0.86,30.9,35.9
Mercedes-Benz,2025-12-01,57.5,15.0,27.5,Kurzfristige Tendenz,57.5,20.0,22.5,Mittelfristige Tendenz,54.9,0.19,-0.75,29.9,34.9
Bayer,2025-12-01,54.6,15.0,30.4,Kurzfristige Tendenz,64.6,20.0,15.4,Mittelfristige Tendenz,69.1,-1.56,10.65,24.1,49.1
Allianz,2025-12-01,54.3,15.0,30.7,Kurzfristige Tendenz,64.3,20.0,15.7,Mittelfristige Tendenz,68.6,1.04,3.29,23.6,48.6
Deutsche Bank,2025-12-01,53.2,15.0,31.8,Kurzfristige Tendenz,43.2,20.0,36.8,Mittelfristige Tendenz,46.4,2.34,-5.91,21.4,6.4
Qiagen,2025-12-01,52.7,15.0,32.3,Kurzfristige Tendenz,62.7,20.0,17.3,Mittelfristige Tendenz,65.4,-1.6,8.67,20.4,45.4
MTU Aero Engines,2025-12-01,32.9,15.0,52.1,Kurzfristige Tendenz,32.9,20.0,47.1,Mittelfristige Tendenz,25.8,-0.91,-5.4,19.2,14.2
Rheinmetall,2025-12-01,33.1,15.0,51.9,Kurzfristige Tendenz,33.1,20.0,46.9,Mittelfristige Tendenz,26.2,-1.94,-16.86,18.8,13.8
Hannover Rück,2025-12-01,51.5,15.0,33.5,Kurzfristige Tendenz,61.5,20.0,18.5,Mittelfristige Tendenz,63.0,-0.15,-0.62,18.0,43.0
BASF,2025-12-01,50.9,15.0,34.1,Kurzfristige Tendenz,60.9,20.0,19.1,Mittelfristige Tendenz,61.8,-0.25,2.36,16.8,41.8
Heidelberg Materials,2025-12-01,50.8,15.0,34.2,Kurzfristige Tendenz,60.8,20.0,19.2,Mittelfristige Tendenz,61.7,-0.95,7.33,16.7,41.7
BMW,2025-12-01,50.6,15.0,34.4,Kurzfristige Tendenz,60.6,20.0,19.4,Mittelfristige Tendenz,61.2,0.02,0.39,16.2,41.2
Airbus,2025-12-01,35.1,15.0,49.9,Kurzfristige Tendenz,35.1,20.0,44.9,Mittelfristige Tendenz,30.2,-1.13,-5.44,14.8,9.8
Siemens Healthineers,2025-12-01,48.0,15.0,37.0,Kurzfristige Tendenz,38.0,20.0,42.0,Mittelfristige Tendenz,35.9,0.89,-1.04,10.9,4.1
Fresenius,2025-12-01,37.2,15.0,47.8,Kurzfristige Tendenz,37.2,20.0,42.8,Mittelfristige Tendenz,34.4,-1.38,-3.87,10.6,5.6
Daimler Truck,2025-12-01,47.5,15.0,37.5,Kurzfristige Tendenz,57.5,20.0,22.5,Mittelfristige Tendenz,54.9,-2.83,0.42,9.9,34.9
Münchener Rück,2025-12-01,46.8,15.0,38.2,Kurzfristige Tendenz,56.8,20.0,23.2,Mittelfristige Tendenz,53.7,0.11,-0.84,8.7,33.7
SAP,2025-12-01,46.6,15.0,38.4,Kurzfristige Tendenz,36.6,20.0,43.4,Mittelfristige Tendenz,33.2,1.39,-4.31,8.2,6.8
E.ON,2025-12-01,39.3,15.0,45.7,Kurzfristige Tendenz,39.3,20.0,40.7,Mittelfristige Tendenz,38.5,-0.23,-4.49,6.5,1.5
Fresenius Medical Care,2025-12-01,39.6,15.0,45.4,Kurzfristige Tendenz,49.6,20.0,30.4,Mittelfristige Tendenz,39.2,-1.42,-1.01,5.8,19.2
Siemens,2025-12-01,39.8,15.0,45.2,Kurzfristige Tendenz,39.8,20.0,40.2,Mittelfristige Tendenz,39.5,-0.31,-8.53,5.5,0.5
Vonovia,2025-12-01,45.2,15.0,39.8,Kurzfristige Tendenz,45.2,20.0,34.8,Mittelfristige Tendenz,50.4,-0.62,0.31,5.4,10.4
Henkel,2025-12-01,40.7,15.0,44.3,Kurzfristige Tendenz,40.7,20.0,39.3,Mittelfristige Tendenz,41.4,-0.89,-3.99,3.6,1.4
Symrise,2025-12-01,44.2,15.0,40.8,Kurzfristige Tendenz,44.2,20.0,35.8,Mittelfristige Tendenz,48.5,0.74,-2.21,3.5,8.5
RWE,2025-12-01,44.1,15.0,40.9,Kurzfristige Tendenz,44.1,20.0,35.9,Mittelfristige Tendenz,48.2,0.51,1.61,3.2,8.2
Zalando,2025-12-01,43.8,15.0,41.2,Kurzfristige Tendenz,43.8,20.0,36.2,Mittelfristige Tendenz,47.6,1.43,0.71,2.6,7.6
Continental,2025-12-01,43.3,15.0,41.7,Kurzfristige Tendenz,43.3,20.0,36.7,Mittelfristige Tendenz,46.5,-0.62,0.6,1.5,6.5
Deutsche Post,2025-12-01,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-12-01,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-12-01,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
