Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Allianz,2025-11-23,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.2,0.25,2.86,35.2,40.2
Qiagen,2025-11-23,58.5,15.0,26.5,Kurzfristige Tendenz,58.5,20.0,21.5,Mittelfristige Tendenz,56.9,5.85,2.32,31.9,36.9
BASF,2025-11-23,58.0,15.0,27.0,Kurzfristige Tendenz,58.0,20.0,22.0,Mittelfristige Tendenz,56.1,2.87,2.0,31.1,36.1
Deutsche Börse,2025-11-23,57.9,15.0,27.1,Kurzfristige Tendenz,57.9,20.0,22.1,Mittelfristige Tendenz,55.8,7.51,-0.18,30.8,35.8
Daimler Truck,2025-11-23,57.2,15.0,27.8,Kurzfristige Tendenz,57.2,20.0,22.8,Mittelfristige Tendenz,54.4,1.86,2.42,29.4,34.4
Bayer,2025-11-23,56.0,15.0,29.0,Kurzfristige Tendenz,56.0,20.0,24.0,Mittelfristige Tendenz,52.0,-1.29,4.21,27.0,32.0
Brenntag,2025-11-23,55.8,15.0,29.2,Kurzfristige Tendenz,55.8,20.0,24.2,Mittelfristige Tendenz,51.6,1.18,2.11,26.6,31.6
Adidas,2025-11-23,29.8,15.0,55.2,Kurzfristige Tendenz,29.8,20.0,50.2,Mittelfristige Tendenz,19.6,-5.25,-6.51,25.4,20.4
MTU Aero Engines,2025-11-23,30.9,15.0,54.1,Kurzfristige Tendenz,30.9,20.0,49.1,Mittelfristige Tendenz,21.7,-2.27,-7.8,23.3,18.3
SAP,2025-11-23,31.2,15.0,53.8,Kurzfristige Tendenz,31.2,20.0,48.8,Mittelfristige Tendenz,22.4,-0.97,-10.42,22.6,17.6
Deutsche Telekom,2025-11-23,53.5,15.0,31.5,Kurzfristige Tendenz,53.5,20.0,26.5,Mittelfristige Tendenz,47.0,1.4,3.64,22.0,27.0
Merck,2025-11-23,53.4,15.0,31.6,Kurzfristige Tendenz,43.4,20.0,36.6,Mittelfristige Tendenz,46.8,-2.98,0.49,21.8,6.8
Vonovia,2025-11-23,51.9,15.0,33.1,Kurzfristige Tendenz,51.9,20.0,28.1,Mittelfristige Tendenz,43.9,0.23,2.52,18.9,23.9
