Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Siemens Energy,2025-11-17,68.3,15.0,16.7,Kurzfristige Tendenz,68.3,20.0,11.7,Mittelfristige Tendenz,76.7,6.37,10.0,51.7,56.7
Porsche,2025-11-17,68.2,15.0,16.8,Kurzfristige Tendenz,68.2,20.0,11.8,Mittelfristige Tendenz,76.4,2.66,6.61,51.4,56.4
Mercedes-Benz,2025-11-17,67.9,15.0,17.1,Kurzfristige Tendenz,67.9,20.0,12.1,Mittelfristige Tendenz,75.9,1.11,8.73,50.9,55.9
BMW,2025-11-17,66.6,15.0,18.4,Kurzfristige Tendenz,66.6,20.0,13.4,Mittelfristige Tendenz,73.2,1.51,9.11,48.2,53.2
RWE,2025-11-17,65.2,15.0,19.8,Kurzfristige Tendenz,65.2,20.0,14.8,Mittelfristige Tendenz,70.4,6.36,11.01,45.4,50.4
Allianz,2025-11-17,65.2,15.0,19.8,Kurzfristige Tendenz,65.2,20.0,14.8,Mittelfristige Tendenz,70.4,2.03,2.49,45.4,50.4
Heidelberg Materials,2025-11-17,62.9,15.0,22.1,Kurzfristige Tendenz,62.9,20.0,17.1,Mittelfristige Tendenz,65.8,4.21,5.34,40.8,45.8
Merck,2025-11-17,61.9,15.0,23.1,Kurzfristige Tendenz,61.9,20.0,18.1,Mittelfristige Tendenz,63.8,3.73,2.95,38.8,43.8
Infineon,2025-11-17,61.3,15.0,23.7,Kurzfristige Tendenz,61.3,20.0,18.7,Mittelfristige Tendenz,62.5,4.96,3.76,37.5,42.5
Brenntag,2025-11-17,57.8,15.0,27.2,Kurzfristige Tendenz,57.8,20.0,22.2,Mittelfristige Tendenz,55.7,4.59,1.07,30.7,35.7
Fresenius Medical Care,2025-11-17,29.3,15.0,55.7,Kurzfristige Tendenz,29.3,20.0,50.7,Mittelfristige Tendenz,18.5,-3.13,-13.53,26.5,21.5
Volkswagen,2025-11-17,54.7,15.0,30.3,Kurzfristige Tendenz,64.7,20.0,15.3,Mittelfristige Tendenz,69.3,0.16,6.96,24.3,49.3
Deutsche Börse,2025-11-17,30.5,15.0,54.5,Kurzfristige Tendenz,30.5,20.0,49.5,Mittelfristige Tendenz,21.1,-2.94,-8.33,23.9,18.9
E.ON,2025-11-17,31.7,15.0,53.3,Kurzfristige Tendenz,31.7,20.0,48.3,Mittelfristige Tendenz,23.4,-4.9,-6.15,21.6,16.6
Commerzbank,2025-11-17,52.9,15.0,32.1,Kurzfristige Tendenz,62.9,20.0,17.1,Mittelfristige Tendenz,65.9,0.66,10.91,20.9,45.9
Deutsche Bank,2025-11-17,51.5,15.0,33.5,Kurzfristige Tendenz,61.5,20.0,18.5,Mittelfristige Tendenz,63.1,-1.77,7.84,18.1,43.1
Hannover Rück,2025-11-17,51.4,15.0,33.6,Kurzfristige Tendenz,61.4,20.0,18.6,Mittelfristige Tendenz,62.8,-0.77,2.14,17.8,42.8
Vonovia,2025-11-17,50.5,15.0,34.5,Kurzfristige Tendenz,40.5,20.0,39.5,Mittelfristige Tendenz,41.1,1.01,-4.38,16.1,1.1
Adidas,2025-11-17,34.5,15.0,50.5,Kurzfristige Tendenz,34.5,20.0,45.5,Mittelfristige Tendenz,29.0,-0.86,-12.74,16.0,11.0
SAP,2025-11-17,34.5,15.0,50.5,Kurzfristige Tendenz,34.5,20.0,45.5,Mittelfristige Tendenz,29.0,-2.83,-9.91,16.0,11.0
Siemens Healthineers,2025-11-17,34.6,15.0,50.4,Kurzfristige Tendenz,34.6,20.0,45.4,Mittelfristige Tendenz,29.2,0.42,-10.89,15.8,10.8
Bayer,2025-11-17,49.9,15.0,35.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.7,2.59,2.53,14.7,39.7
Beiersdorf,2025-11-17,35.4,15.0,49.6,Kurzfristige Tendenz,35.4,20.0,44.6,Mittelfristige Tendenz,30.7,-3.03,-1.58,14.3,9.3
Symrise,2025-11-17,36.1,15.0,48.9,Kurzfristige Tendenz,36.1,20.0,43.9,Mittelfristige Tendenz,32.1,-0.55,-6.03,12.9,7.9
Deutsche Telekom,2025-11-17,36.5,15.0,48.5,Kurzfristige Tendenz,36.5,20.0,43.5,Mittelfristige Tendenz,33.0,0.48,-6.24,12.0,7.0
Qiagen,2025-11-17,36.8,15.0,48.2,Kurzfristige Tendenz,36.8,20.0,43.2,Mittelfristige Tendenz,33.6,0.83,-7.26,11.4,6.4
Zalando,2025-11-17,37.0,15.0,48.0,Kurzfristige Tendenz,37.0,20.0,43.0,Mittelfristige Tendenz,34.1,1.06,-11.69,10.9,5.9
Siemens,2025-11-17,37.6,15.0,47.4,Kurzfristige Tendenz,37.6,20.0,42.4,Mittelfristige Tendenz,35.1,-7.56,-7.13,9.9,4.9
Daimler Truck,2025-11-17,47.3,15.0,37.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.5,-2.03,1.0,9.5,34.5
MTU Aero Engines,2025-11-17,37.9,15.0,47.1,Kurzfristige Tendenz,37.9,20.0,42.1,Mittelfristige Tendenz,35.8,-2.07,-5.35,9.2,4.2
Rheinmetall,2025-11-17,46.5,15.0,38.5,Kurzfristige Tendenz,46.5,20.0,33.5,Mittelfristige Tendenz,53.1,0.32,-0.46,8.1,13.1
Airbus,2025-11-17,45.9,15.0,39.1,Kurzfristige Tendenz,45.9,20.0,34.1,Mittelfristige Tendenz,51.8,-1.18,0.41,6.8,11.8
BASF,2025-11-17,45.8,15.0,39.2,Kurzfristige Tendenz,55.8,20.0,24.2,Mittelfristige Tendenz,51.6,-0.37,0.93,6.6,31.6
Fresenius,2025-11-17,45.4,15.0,39.6,Kurzfristige Tendenz,45.4,20.0,34.6,Mittelfristige Tendenz,50.8,-0.18,-1.85,5.8,10.8
Münchener Rück,2025-11-17,44.1,15.0,40.9,Kurzfristige Tendenz,44.1,20.0,35.9,Mittelfristige Tendenz,48.2,-0.48,-1.06,3.2,8.2
Continental,2025-11-17,43.9,15.0,41.1,Kurzfristige Tendenz,43.9,20.0,36.1,Mittelfristige Tendenz,47.9,0.16,-2.08,2.9,7.9
Henkel,2025-11-17,41.8,15.0,43.2,Kurzfristige Tendenz,41.8,20.0,38.2,Mittelfristige Tendenz,43.6,-1.91,-0.17,1.4,3.6
Deutsche Post,2025-11-17,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
GEA,2025-11-17,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
Scout24,2025-11-17,33.3,33.3,33.4,Kurzfristige Tendenz,33.3,33.3,33.4,Mittelfristige Tendenz,,,,0.1,0.1
