Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Bayer,2025-11-24,65.6,15.0,19.4,Kurzfristige Tendenz,65.6,20.0,14.4,Mittelfristige Tendenz,71.2,11.44,14.0,46.2,51.2
Allianz,2025-11-24,60.9,15.0,24.1,Kurzfristige Tendenz,60.9,20.0,19.1,Mittelfristige Tendenz,61.9,1.25,2.91,36.9,41.9
Daimler Truck,2025-11-24,60.9,15.0,24.1,Kurzfristige Tendenz,60.9,20.0,19.1,Mittelfristige Tendenz,61.8,5.14,6.86,36.8,41.8
Qiagen,2025-11-24,60.3,15.0,24.7,Kurzfristige Tendenz,60.3,20.0,19.7,Mittelfristige Tendenz,60.7,8.58,3.33,35.7,40.7
BMW,2025-11-24,60.1,15.0,24.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.3,2.83,8.42,35.3,40.3
Volkswagen,2025-11-24,59.4,15.0,25.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.9,1.27,5.18,33.9,38.9
BASF,2025-11-24,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.7,5.58,5.71,33.7,38.7
Mercedes-Benz,2025-11-24,59.0,15.0,26.0,Kurzfristige Tendenz,59.0,20.0,21.0,Mittelfristige Tendenz,58.0,2.48,3.0,33.0,38.0
Brenntag,2025-11-24,58.2,15.0,26.8,Kurzfristige Tendenz,58.2,20.0,21.8,Mittelfristige Tendenz,56.4,4.24,5.01,31.4,36.4
Porsche,2025-11-24,57.7,15.0,27.3,Kurzfristige Tendenz,57.7,20.0,22.3,Mittelfristige Tendenz,55.5,-0.22,4.24,30.5,35.5
Hannover Rück,2025-11-24,57.3,15.0,27.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.6,0.31,3.14,29.6,34.6
Merck,2025-11-24,56.6,15.0,28.4,Kurzfristige Tendenz,56.6,20.0,23.4,Mittelfristige Tendenz,53.3,2.46,1.51,28.3,33.3
Commerzbank,2025-11-24,56.0,15.0,29.0,Kurzfristige Tendenz,46.0,20.0,34.0,Mittelfristige Tendenz,52.0,2.71,-1.14,27.0,12.0
Deutsche Börse,2025-11-24,55.8,15.0,29.2,Kurzfristige Tendenz,55.8,20.0,24.2,Mittelfristige Tendenz,51.5,3.73,-0.82,26.5,31.5
MTU Aero Engines,2025-11-24,29.9,15.0,55.1,Kurzfristige Tendenz,29.9,20.0,50.1,Mittelfristige Tendenz,19.8,-1.02,-5.28,25.2,20.2
Continental,2025-11-24,54.1,15.0,30.9,Kurzfristige Tendenz,44.1,20.0,35.9,Mittelfristige Tendenz,48.3,3.36,-3.38,23.3,8.3
