Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Bayer,2025-12-03,71.7,15.0,13.3,Kurzfristige Tendenz,71.7,20.0,8.3,Mittelfristige Tendenz,83.5,12.49,18.53,58.5,63.5
Volkswagen,2025-12-03,68.5,15.0,16.5,Kurzfristige Tendenz,68.5,20.0,11.5,Mittelfristige Tendenz,76.9,5.32,3.4,51.9,56.9
Merck,2025-12-03,66.6,15.0,18.4,Kurzfristige Tendenz,66.6,20.0,13.4,Mittelfristige Tendenz,73.1,3.8,3.89,48.1,53.1
Porsche,2025-12-03,65.2,15.0,19.8,Kurzfristige Tendenz,65.2,20.0,14.8,Mittelfristige Tendenz,70.4,2.11,1.21,45.4,50.4
BMW,2025-12-03,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,2.07,0.74,44.0,49.0
Infineon,2025-12-03,61.6,15.0,23.4,Kurzfristige Tendenz,61.6,20.0,18.4,Mittelfristige Tendenz,63.1,3.08,1.61,38.1,43.1
Mercedes-Benz,2025-12-03,61.2,15.0,23.8,Kurzfristige Tendenz,61.2,20.0,18.8,Mittelfristige Tendenz,62.5,2.24,-0.02,37.5,42.5
Siemens Energy,2025-12-03,59.9,15.0,25.1,Kurzfristige Tendenz,59.9,20.0,20.1,Mittelfristige Tendenz,59.7,0.96,7.59,34.7,39.7
Continental,2025-12-03,59.8,15.0,25.2,Kurzfristige Tendenz,59.8,20.0,20.2,Mittelfristige Tendenz,59.6,2.09,2.54,34.6,39.6
Zalando,2025-12-03,57.0,15.0,28.0,Kurzfristige Tendenz,57.0,20.0,23.0,Mittelfristige Tendenz,54.0,0.82,-1.02,29.0,34.0
E.ON,2025-12-03,55.2,15.0,29.8,Kurzfristige Tendenz,55.2,20.0,24.8,Mittelfristige Tendenz,50.3,1.5,0.65,25.3,30.3
Deutsche Bank,2025-12-03,54.9,15.0,30.1,Kurzfristige Tendenz,44.9,20.0,35.1,Mittelfristige Tendenz,49.9,1.05,-7.45,24.9,9.9
RWE,2025-12-03,54.8,15.0,30.2,Kurzfristige Tendenz,44.8,20.0,35.2,Mittelfristige Tendenz,49.6,0.74,-6.62,24.6,9.6
MTU Aero Engines,2025-12-03,32.4,15.0,52.6,Kurzfristige Tendenz,32.4,20.0,47.6,Mittelfristige Tendenz,24.7,-2.92,-6.11,20.3,15.3
Siemens,2025-12-03,51.1,15.0,33.9,Kurzfristige Tendenz,41.1,20.0,38.9,Mittelfristige Tendenz,42.2,0.09,0.33,17.2,2.2
BASF,2025-12-03,50.6,15.0,34.4,Kurzfristige Tendenz,60.6,20.0,19.4,Mittelfristige Tendenz,61.1,0.29,2.31,16.1,41.1
Allianz,2025-12-03,50.1,15.0,34.9,Kurzfristige Tendenz,60.1,20.0,19.9,Mittelfristige Tendenz,60.2,-0.91,2.05,15.2,40.2
Commerzbank,2025-12-03,49.5,15.0,35.5,Kurzfristige Tendenz,59.5,20.0,20.5,Mittelfristige Tendenz,59.0,0.53,-1.59,14.0,39.0
Heidelberg Materials,2025-12-03,49.4,15.0,35.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.9,-1.13,1.21,13.9,38.9
