Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Siemens Healthineers,2025-12-17,69.3,15.0,15.7,Kurzfristige Tendenz,69.3,20.0,10.7,Mittelfristige Tendenz,78.6,1.42,3.51,53.6,58.6
Zalando,2025-12-17,67.7,15.0,17.3,Kurzfristige Tendenz,67.7,20.0,12.3,Mittelfristige Tendenz,75.4,6.46,6.19,50.4,55.4
Allianz,2025-12-17,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.8,0.55,3.85,46.8,51.8
Münchener Rück,2025-12-17,65.9,15.0,19.1,Kurzfristige Tendenz,65.9,20.0,14.1,Mittelfristige Tendenz,71.7,,2.72,46.7,51.7
Adidas,2025-12-17,65.2,15.0,19.8,Kurzfristige Tendenz,65.2,20.0,14.8,Mittelfristige Tendenz,70.5,2.59,5.58,45.5,50.5
Continental,2025-12-17,64.5,15.0,20.5,Kurzfristige Tendenz,64.5,20.0,15.5,Mittelfristige Tendenz,69.0,1.06,2.99,44.0,49.0
Merck,2025-12-17,61.9,15.0,23.1,Kurzfristige Tendenz,61.9,20.0,18.1,Mittelfristige Tendenz,63.8,0.97,3.84,38.8,43.8
Hannover Rück,2025-12-17,61.8,15.0,23.2,Kurzfristige Tendenz,61.8,20.0,18.2,Mittelfristige Tendenz,63.7,1.55,1.24,38.7,43.7
Commerzbank,2025-12-17,60.8,15.0,24.2,Kurzfristige Tendenz,60.8,20.0,19.2,Mittelfristige Tendenz,61.7,-1.42,2.3,36.7,41.7
Deutsche Bank,2025-12-17,60.7,15.0,24.3,Kurzfristige Tendenz,60.7,20.0,19.3,Mittelfristige Tendenz,61.4,-1.04,5.65,36.4,41.4
Siemens Energy,2025-12-17,60.4,15.0,24.6,Kurzfristige Tendenz,60.4,20.0,19.6,Mittelfristige Tendenz,60.9,-1.74,6.08,35.9,40.9
MTU Aero Engines,2025-12-17,57.3,15.0,27.7,Kurzfristige Tendenz,57.3,20.0,22.7,Mittelfristige Tendenz,54.5,1.49,0.4,29.5,34.5
E.ON,2025-12-17,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.2,3.6,1.24,29.2,34.2
RWE,2025-12-17,57.1,15.0,27.9,Kurzfristige Tendenz,57.1,20.0,22.9,Mittelfristige Tendenz,54.1,2.81,2.0,29.1,34.1
Fresenius Medical Care,2025-12-17,56.4,15.0,28.6,Kurzfristige Tendenz,46.4,20.0,33.6,Mittelfristige Tendenz,52.9,1.18,-1.82,27.9,12.9
Deutsche Börse,2025-12-17,55.2,15.0,29.8,Kurzfristige Tendenz,45.2,20.0,34.8,Mittelfristige Tendenz,50.5,0.46,-4.17,25.5,10.5
Porsche,2025-12-17,55.2,15.0,29.8,Kurzfristige Tendenz,65.2,20.0,14.8,Mittelfristige Tendenz,70.4,-1.56,9.39,25.4,50.4
Vonovia,2025-12-17,29.8,15.0,55.2,Kurzfristige Tendenz,29.8,20.0,50.2,Mittelfristige Tendenz,19.6,-1.04,-9.07,25.4,20.4
Siemens,2025-12-17,55.1,15.0,29.9,Kurzfristige Tendenz,65.1,20.0,14.9,Mittelfristige Tendenz,70.2,-0.48,4.46,25.2,50.2
Fresenius,2025-12-17,54.5,15.0,30.5,Kurzfristige Tendenz,54.5,20.0,25.5,Mittelfristige Tendenz,48.9,-0.56,0.59,23.9,28.9
Volkswagen,2025-12-17,54.3,15.0,30.7,Kurzfristige Tendenz,64.3,20.0,15.7,Mittelfristige Tendenz,68.7,-1.12,9.02,23.7,48.7
