Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Allianz,2025-11-21,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.2,0.08,2.69,34.2,39.2
Qiagen,2025-11-21,56.4,15.0,28.6,Kurzfristige Tendenz,56.4,20.0,23.6,Mittelfristige Tendenz,52.7,4.4,0.92,27.7,32.7
Fresenius Medical Care,2025-11-21,28.9,15.0,56.1,Kurzfristige Tendenz,28.9,20.0,51.1,Mittelfristige Tendenz,17.8,-1.05,-13.14,27.2,22.2
BASF,2025-11-21,54.6,15.0,30.4,Kurzfristige Tendenz,44.6,20.0,35.4,Mittelfristige Tendenz,49.2,0.94,0.09,24.2,9.2
Adidas,2025-11-21,30.5,15.0,54.5,Kurzfristige Tendenz,30.5,20.0,49.5,Mittelfristige Tendenz,21.1,-4.62,-5.89,23.9,18.9
MTU Aero Engines,2025-11-21,30.6,15.0,54.4,Kurzfristige Tendenz,30.6,20.0,49.4,Mittelfristige Tendenz,21.1,-2.55,-8.07,23.9,18.9
Beiersdorf,2025-11-21,31.2,15.0,53.8,Kurzfristige Tendenz,31.2,20.0,48.8,Mittelfristige Tendenz,22.4,-2.09,-3.63,22.6,17.6
Siemens Healthineers,2025-11-21,31.5,15.0,53.5,Kurzfristige Tendenz,31.5,20.0,48.5,Mittelfristige Tendenz,22.9,-0.67,-14.99,22.1,17.1
Brenntag,2025-11-21,52.5,15.0,32.5,Kurzfristige Tendenz,52.5,20.0,27.5,Mittelfristige Tendenz,45.0,-0.56,0.36,20.0,25.0
Symrise,2025-11-21,33.1,15.0,51.9,Kurzfristige Tendenz,33.1,20.0,46.9,Mittelfristige Tendenz,26.1,-2.15,-2.75,18.9,13.9
Deutsche Börse,2025-11-21,52.0,15.0,33.0,Kurzfristige Tendenz,42.0,20.0,38.0,Mittelfristige Tendenz,43.9,4.08,-3.37,18.9,3.9
